tier,division,match_id
BRONZE,I,EUW1_5499122039
BRONZE,I,EUW1_5479661889
BRONZE,I,EUW1_5479575964
BRONZE,I,EUW1_5479499524
BRONZE,I,EUW1_5479492935
BRONZE,I,EUW1_5479357161
BRONZE,I,EUW1_5479240342
BRONZE,I,EUW1_5479274148
BRONZE,I,EUW1_5449441489
BRONZE,I,EUW1_5187819923
BRONZE,I,EUW1_5187782584
BRONZE,I,EUW1_5150600096
BRONZE,I,EUW1_5150582584
BRONZE,I,EUW1_5147658901
BRONZE,I,EUW1_5140867676
BRONZE,I,EUW1_5125613555
BRONZE,I,EUW1_5070527724
BRONZE,I,EUW1_5070479839
BRONZE,I,EUW1_5070493268
BRONZE,I,EUW1_5070357138
BRONZE,I,EUW1_5070268323
BRONZE,I,EUW1_5032439830
BRONZE,I,EUW1_5032371850
BRONZE,I,EUW1_5032203251
BRONZE,I,EUW1_5019831475
BRONZE,I,EUW1_4994961225
BRONZE,I,EUW1_4994805992
BRONZE,I,EUW1_4994726359
BRONZE,I,EUW1_4993682200
BRONZE,I,EUW1_4993569533
BRONZE,I,EUW1_4993553961
BRONZE,I,EUW1_4993239248
BRONZE,I,EUW1_4992624293
BRONZE,I,EUW1_4992470357
BRONZE,I,EUW1_4992525750
BRONZE,I,EUW1_4991948720
BRONZE,I,EUW1_4991465698
BRONZE,I,EUW1_4991425949
BRONZE,I,EUW1_4991157279
BRONZE,I,EUW1_4986186549
BRONZE,I,EUW1_4985775949
BRONZE,I,EUW1_4985737092
BRONZE,I,EUW1_4984817964
BRONZE,I,EUW1_4984382162
BRONZE,I,EUW1_4984079233
BRONZE,I,EUW1_4984083068
BRONZE,I,EUW1_5472406684
BRONZE,I,EUW1_5470633655
BRONZE,I,EUW1_5470552553
BRONZE,I,EUW1_5470516493
BRONZE,I,EUW1_5469600225
BRONZE,I,EUW1_5464785387
BRONZE,I,EUW1_5461297909
BRONZE,I,EUW1_5461216128
BRONZE,I,EUW1_5460950048
BRONZE,I,EUW1_5460965076
BRONZE,I,EUW1_5460911854
BRONZE,I,EUW1_5460753886
BRONZE,I,EUW1_5459722123
BRONZE,I,EUW1_5458765816
BRONZE,I,EUW1_5456705688
BRONZE,I,EUW1_5456731589
BRONZE,I,EUW1_5456595457
BRONZE,I,EUW1_5456510066
BRONZE,I,EUW1_5454847859
BRONZE,I,EUW1_5454832261
BRONZE,I,EUW1_5454022583
BRONZE,I,EUW1_5453365564
BRONZE,I,EUW1_5453250268
BRONZE,I,EUW1_5453216617
BRONZE,I,EUW1_5451255235
BRONZE,I,EUW1_5451252842
BRONZE,I,EUW1_5450420912
BRONZE,I,EUW1_5450235450
BRONZE,I,EUW1_5449666643
BRONZE,I,EUW1_5449635914
BRONZE,I,EUW1_5449147337
BRONZE,I,EUW1_5449065981
BRONZE,I,EUW1_5448940194
BRONZE,I,EUW1_5447933245
BRONZE,I,EUW1_5447656257
BRONZE,I,EUW1_5447417214
BRONZE,I,EUW1_5446166237
BRONZE,I,EUW1_5446058456
BRONZE,I,EUW1_5407799419
BRONZE,I,EUW1_5406945741
BRONZE,I,EUW1_5406850206
BRONZE,I,EUW1_5406824122
BRONZE,I,EUW1_5406320013
BRONZE,I,EUW1_5406284673
BRONZE,I,EUW1_5405236462
BRONZE,I,EUW1_5405180653
BRONZE,I,EUW1_5405075519
BRONZE,I,EUW1_5404299687
BRONZE,I,EUW1_5404275828
BRONZE,I,EUW1_5404024200
BRONZE,I,EUW1_5403424440
BRONZE,I,EUW1_5403317287
BRONZE,I,EUW1_5402347134
BRONZE,I,EUW1_5402371963
BRONZE,I,EUW1_5402245454
BRONZE,I,EUW1_5402088262
BRONZE,I,EUW1_5401317332
BRONZE,I,EUW1_5401277004
BRONZE,I,EUW1_5400639705
BRONZE,I,EUW1_5400660550
BRONZE,I,EUW1_5400420356
BRONZE,I,EUW1_5399696299
BRONZE,I,EUW1_5399629009
BRONZE,I,EUW1_5399553268
BRONZE,I,EUW1_5399287063
BRONZE,I,EUW1_5399216807
BRONZE,I,EUW1_5399144447
BRONZE,I,EUW1_5399059931
BRONZE,I,EUW1_5397657766
BRONZE,I,EUW1_5397623843
BRONZE,I,EUW1_5397508621
BRONZE,I,EUW1_5396549988
BRONZE,I,EUW1_5396542819
BRONZE,I,EUW1_5394851243
BRONZE,I,EUW1_5390730208
BRONZE,I,EUW1_5390676139
BRONZE,I,EUW1_5390639521
BRONZE,I,EUW1_5387909654
BRONZE,I,EUW1_5383048046
BRONZE,I,EUW1_5383043722
BRONZE,I,EUW1_5381441999
BRONZE,I,EUW1_5379995074
BRONZE,I,EUW1_5379679573
BRONZE,I,EUW1_5376567392
BRONZE,I,EUW1_5376528154
BRONZE,I,EUW1_5376463130
BRONZE,I,EUW1_5376305949
BRONZE,I,EUW1_5376283322
BRONZE,I,EUW1_5376138670
BRONZE,I,EUW1_5376171213
BRONZE,I,EUW1_5373708491
BRONZE,I,EUW1_5373751498
BRONZE,I,EUW1_5373607723
BRONZE,I,EUW1_5372169588
BRONZE,I,EUW1_5372155698
BRONZE,I,EUW1_5372087158
BRONZE,I,EUW1_5370350895
BRONZE,I,EUW1_5370198952
BRONZE,I,EUW1_5370185449
BRONZE,I,EUW1_5370180849
BRONZE,I,EUW1_5154110447
BRONZE,I,EUW1_5154135153
BRONZE,I,EUW1_5154151230
BRONZE,I,EUW1_5153004622
BRONZE,I,EUW1_5150972370
BRONZE,I,EUW1_5149069751
BRONZE,I,EUW1_5149015775
BRONZE,I,EUW1_5147630221
BRONZE,I,EUW1_5145708617
BRONZE,I,EUW1_5145752543
BRONZE,I,EUW1_5144362616
BRONZE,I,EUW1_5144269833
BRONZE,I,EUW1_5144116476
BRONZE,I,EUW1_5144112542
BRONZE,I,EUW1_5143074829
BRONZE,I,EUW1_5141242638
BRONZE,I,EUW1_5141196933
BRONZE,I,EUW1_5140639318
BRONZE,I,EUW1_5139511078
BRONZE,I,EUW1_5139435385
BRONZE,I,EUW1_5139160253
BRONZE,I,EUW1_5139110076
BRONZE,I,EUW1_5139008631
BRONZE,I,EUW1_5138717587
BRONZE,I,EUW1_5138692722
BRONZE,I,EUW1_5138565641
BRONZE,I,EUW1_5138478539
BRONZE,I,EUW1_5137517103
BRONZE,I,EUW1_5137520572
BRONZE,I,EUW1_5137254413
BRONZE,I,EUW1_5124280539
BRONZE,I,EUW1_5123891529
BRONZE,I,EUW1_5123735278
BRONZE,I,EUW1_5116518609
BRONZE,I,EUW1_5102357997
BRONZE,I,EUW1_5366744989
BRONZE,I,EUW1_5366752846
BRONZE,I,EUW1_5366741786
BRONZE,I,EUW1_5366701041
BRONZE,I,EUW1_5363564255
BRONZE,I,EUW1_5363553671
BRONZE,I,EUW1_5363572612
BRONZE,I,EUW1_5363571695
BRONZE,I,EUW1_5363540748
BRONZE,I,EUW1_5363468751
BRONZE,I,EUW1_5251395069
BRONZE,I,EUW1_5251119748
BRONZE,I,EUW1_5251171919
BRONZE,I,EUW1_5249706631
BRONZE,I,EUW1_5249578845
BRONZE,I,EUW1_5245620507
BRONZE,I,EUW1_5245413945
BRONZE,I,EUW1_5245297662
BRONZE,I,EUW1_5245301481
BRONZE,I,EUW1_5244024804
BRONZE,I,EUW1_5244003544
BRONZE,I,EUW1_5243895120
BRONZE,I,EUW1_5243729255
BRONZE,I,EUW1_5237163942
BRONZE,I,EUW1_5237056196
BRONZE,I,EUW1_5237020342
BRONZE,I,EUW1_5236941625
BRONZE,I,EUW1_5236916555
BRONZE,I,EUW1_5236881299
BRONZE,I,EUW1_5236734286
BRONZE,I,EUW1_5235813613
BRONZE,I,EUW1_5235629643
BRONZE,I,EUW1_5235682062
BRONZE,I,EUW1_5235361225
BRONZE,I,EUW1_5235292289
BRONZE,I,EUW1_5235167603
BRONZE,I,EUW1_5234191351
BRONZE,I,EUW1_5234025301
BRONZE,I,EUW1_5233867701
BRONZE,I,EUW1_5233769873
BRONZE,I,EUW1_5233722947
BRONZE,I,EUW1_5233419903
BRONZE,I,EUW1_5233373806
BRONZE,I,EUW1_5233295553
BRONZE,I,EUW1_5233240827
BRONZE,I,EUW1_5233185115
BRONZE,I,EUW1_5232569330
BRONZE,I,EUW1_5232617045
BRONZE,I,EUW1_5232587080
BRONZE,I,EUW1_5232574742
BRONZE,I,EUW1_5232590933
BRONZE,I,EUW1_5232515749
BRONZE,I,EUW1_5226653451
BRONZE,I,EUW1_5226550292
BRONZE,I,EUW1_5226483078
BRONZE,I,EUW1_5223084065
BRONZE,I,EUW1_5222907293
BRONZE,I,EUW1_5222709339
BRONZE,I,EUW1_5221467340
BRONZE,I,EUW1_5221395471
BRONZE,I,EUW1_5221440605
BRONZE,I,EUW1_5209522194
BRONZE,I,EUW1_5209480818
BRONZE,I,EUW1_5209411327
BRONZE,I,EUW1_5209240164
BRONZE,I,EUW1_5209242613
BRONZE,I,EUW1_5209215041
BRONZE,I,EUW1_5209058221
BRONZE,I,EUW1_5209055799
BRONZE,I,EUW1_5207071974
BRONZE,I,EUW1_5206966743
BRONZE,I,EUW1_5206932976
BRONZE,I,EUW1_5203789825
BRONZE,I,EUW1_5203649436
BRONZE,I,EUW1_5203604755
BRONZE,I,EUW1_5444367613
BRONZE,I,EUW1_5444364363
BRONZE,I,EUW1_5443280696
BRONZE,I,EUW1_5443195095
BRONZE,I,EUW1_5443120032
BRONZE,I,EUW1_5443085525
BRONZE,I,EUW1_5443020408
BRONZE,I,EUW1_5442954350
BRONZE,I,EUW1_5442699177
BRONZE,I,EUW1_5442615063
BRONZE,I,EUW1_5442519584
BRONZE,I,EUW1_5442494806
BRONZE,I,EUW1_5210873309
BRONZE,I,EUW1_5159510372
BRONZE,I,EUW1_5081318255
BRONZE,I,EUW1_5070075208
BRONZE,I,EUW1_5069844218
BRONZE,I,EUW1_5069749124
BRONZE,I,EUW1_5069752595
BRONZE,I,EUW1_5067934781
BRONZE,I,EUW1_5067778107
BRONZE,I,EUW1_5066023606
BRONZE,I,EUW1_5065965629
BRONZE,I,EUW1_5065880001
BRONZE,I,EUW1_5063623728
BRONZE,I,EUW1_5063585992
BRONZE,I,EUW1_5063149681
BRONZE,I,EUW1_5061625812
BRONZE,I,EUW1_5061468708
BRONZE,I,EUW1_5061336874
BRONZE,I,EUW1_5061273525
BRONZE,I,EUW1_5059616807
BRONZE,I,EUW1_5059418156
BRONZE,I,EUW1_5059375233
BRONZE,I,EUW1_5059298493
BRONZE,I,EUW1_5059120050
BRONZE,I,EUW1_5059115709
BRONZE,I,EUW1_5059096609
BRONZE,I,EUW1_5059083302
BRONZE,I,EUW1_5058089980
BRONZE,I,EUW1_5058082715
BRONZE,I,EUW1_5057552731
BRONZE,I,EUW1_5057524397
BRONZE,I,EUW1_5057418504
BRONZE,I,EUW1_5057118156
BRONZE,I,EUW1_5057132725
