tier,division,match_id
BRONZE,II,EUW1_5469880599
BRONZE,II,EUW1_5469821875
BRONZE,II,EUW1_5469726888
BRONZE,II,EUW1_5469629305
BRONZE,II,EUW1_5469554773
BRONZE,II,EUW1_5468628973
BRONZE,II,EUW1_5468616090
BRONZE,II,EUW1_5468499987
BRONZE,II,EUW1_5468463744
BRONZE,II,EUW1_5465615558
BRONZE,II,EUW1_5465621814
BRONZE,II,EUW1_5465358698
BRONZE,II,EUW1_5465362266
BRONZE,II,EUW1_5333065494
BRONZE,II,EUW1_5333074557
BRONZE,II,EUW1_5076629650
BRONZE,II,EUW1_5076692880
BRONZE,II,EUW1_5063772938
BRONZE,II,EUW1_5062041035
BRONZE,II,EUW1_5510503844
BRONZE,II,EUW1_5464924875
BRONZE,II,EUW1_5464841616
BRONZE,II,EUW1_5463597484
BRONZE,II,EUW1_5458261622
BRONZE,II,EUW1_5456072268
BRONZE,II,EUW1_5455099537
BRONZE,II,EUW1_5455094666
BRONZE,II,EUW1_5454975341
BRONZE,II,EUW1_5454931272
BRONZE,II,EUW1_5454846101
BRONZE,II,EUW1_5454850685
BRONZE,II,EUW1_5454664399
BRONZE,II,EUW1_5449022500
BRONZE,II,EUW1_5447836567
BRONZE,II,EUW1_5447636258
BRONZE,II,EUW1_5432273138
BRONZE,II,EUW1_5432168765
BRONZE,II,EUW1_5432153636
BRONZE,II,EUW1_5432009540
BRONZE,II,EUW1_5431035417
BRONZE,II,EUW1_5430930272
BRONZE,II,EUW1_5429191107
BRONZE,II,EUW1_5412886499
BRONZE,II,EUW1_5412779575
BRONZE,II,EUW1_5346779617
BRONZE,II,EUW1_5344020901
BRONZE,II,EUW1_5343886274
BRONZE,II,EUW1_5343931200
BRONZE,II,EUW1_5341352833
BRONZE,II,EUW1_5340963322
BRONZE,II,EUW1_5340839944
BRONZE,II,EUW1_5340826911
BRONZE,II,EUW1_5330551300
BRONZE,II,EUW1_5330477629
BRONZE,II,EUW1_5328986824
BRONZE,II,EUW1_5325896021
BRONZE,II,EUW1_5321073520
BRONZE,II,EUW1_5320262033
BRONZE,II,EUW1_5320241344
BRONZE,II,EUW1_5320075407
BRONZE,II,EUW1_5319308911
BRONZE,II,EUW1_5319303336
BRONZE,II,EUW1_5319238231
BRONZE,II,EUW1_5319215186
BRONZE,II,EUW1_5319110239
BRONZE,II,EUW1_5319105939
BRONZE,II,EUW1_5319095334
BRONZE,II,EUW1_5319160788
BRONZE,II,EUW1_5319056065
BRONZE,II,EUW1_5533877684
BRONZE,II,EUW1_5533739514
BRONZE,II,EUW1_5533404442
BRONZE,II,EUW1_5532960417
BRONZE,II,EUW1_5530683117
BRONZE,II,EUW1_5530558179
BRONZE,II,EUW1_5530543580
BRONZE,II,EUW1_5530512197
BRONZE,II,EUW1_5513611484
BRONZE,II,EUW1_5511195521
BRONZE,II,EUW1_5510621762
BRONZE,II,EUW1_5456183718
BRONZE,II,EUW1_5311763623
BRONZE,II,EUW1_5310516282
BRONZE,II,EUW1_5279007250
BRONZE,II,EUW1_5278848903
BRONZE,II,EUW1_5262470079
BRONZE,II,EUW1_5257236184
BRONZE,II,EUW1_5257130455
BRONZE,II,EUW1_5239684457
BRONZE,II,EUW1_5533314805
BRONZE,II,EUW1_5532457615
BRONZE,II,EUW1_5532433655
BRONZE,II,EUW1_5532357146
BRONZE,II,EUW1_5532281160
BRONZE,II,EUW1_5526255708
BRONZE,II,EUW1_5526215664
BRONZE,II,EUW1_5525631795
BRONZE,II,EUW1_5521817303
BRONZE,II,EUW1_5521055889
BRONZE,II,EUW1_5520946165
BRONZE,II,EUW1_5477858329
BRONZE,II,EUW1_5230331834
BRONZE,II,EUW1_5216353033
BRONZE,II,EUW1_5215157894
BRONZE,II,EUW1_5215133213
BRONZE,II,EUW1_5214319519
BRONZE,II,EUW1_5212540379
BRONZE,II,EUW1_5211109029
BRONZE,II,EUW1_5210360086
BRONZE,II,EUW1_5210393737
BRONZE,II,EUW1_5199551805
BRONZE,II,EUW1_5199444136
BRONZE,II,EUW1_5194964501
BRONZE,II,EUW1_5194947596
BRONZE,II,EUW1_5513954178
BRONZE,II,EUW1_5511706855
BRONZE,II,EUW1_5504590995
BRONZE,II,EUW1_5503270531
BRONZE,II,EUW1_5494307543
BRONZE,II,EUW1_5494206398
BRONZE,II,EUW1_5493055309
BRONZE,II,EUW1_5492182147
BRONZE,II,EUW1_5492081864
BRONZE,II,EUW1_5491382196
BRONZE,II,EUW1_5491265889
BRONZE,II,EUW1_5491217721
BRONZE,II,EUW1_5482369567
BRONZE,II,EUW1_5481738487
BRONZE,II,EUW1_5470762281
BRONZE,II,EUW1_5470323715
BRONZE,II,EUW1_5469547505
BRONZE,II,EUW1_5460441403
BRONZE,II,EUW1_5459144828
BRONZE,II,EUW1_5456910208
BRONZE,II,EUW1_5456875400
BRONZE,II,EUW1_5454657386
BRONZE,II,EUW1_5454590025
BRONZE,II,EUW1_5454297603
BRONZE,II,EUW1_5454372994
BRONZE,II,EUW1_5529061539
BRONZE,II,EUW1_5528837610
BRONZE,II,EUW1_5527409927
BRONZE,II,EUW1_5527238045
BRONZE,II,EUW1_5527109859
BRONZE,II,EUW1_5527132993
BRONZE,II,EUW1_5526493900
BRONZE,II,EUW1_5526350135
BRONZE,II,EUW1_5524441442
BRONZE,II,EUW1_5255309184
BRONZE,II,EUW1_5252793046
BRONZE,II,EUW1_5251638479
BRONZE,II,EUW1_5243964209
BRONZE,II,EUW1_5240900573
BRONZE,II,EUW1_5240666549
BRONZE,II,EUW1_5239910960
BRONZE,II,EUW1_5239468348
BRONZE,II,EUW1_5239402212
BRONZE,II,EUW1_5237683200
BRONZE,II,EUW1_5237624481
BRONZE,II,EUW1_5237273319
BRONZE,II,EUW1_5237176025
BRONZE,II,EUW1_5236796558
BRONZE,II,EUW1_5230234637
BRONZE,II,EUW1_5208856059
BRONZE,II,EUW1_5512206017
BRONZE,II,EUW1_5510476623
BRONZE,II,EUW1_5510457361
BRONZE,II,EUW1_5494476456
BRONZE,II,EUW1_5494386778
BRONZE,II,EUW1_5441588647
BRONZE,II,EUW1_5439069142
BRONZE,II,EUW1_5439094742
BRONZE,II,EUW1_5439062651
BRONZE,II,EUW1_5347612409
BRONZE,II,EUW1_5347085396
BRONZE,II,EUW1_5326045621
BRONZE,II,EUW1_5321300343
BRONZE,II,EUW1_5320286513
BRONZE,II,EUW1_5304147809
BRONZE,II,EUW1_5304067071
BRONZE,II,EUW1_5300446133
BRONZE,II,EUW1_5271166502
BRONZE,II,EUW1_5260853640
BRONZE,II,EUW1_5240406684
BRONZE,II,EUW1_5240483387
BRONZE,II,EUW1_5239021759
BRONZE,II,EUW1_5238404588
BRONZE,II,EUW1_5235474867
BRONZE,II,EUW1_5235179620
BRONZE,II,EUW1_5366017473
BRONZE,II,EUW1_5350194868
BRONZE,II,EUW1_5347088795
BRONZE,II,EUW1_5264464723
BRONZE,II,EUW1_5260747770
BRONZE,II,EUW1_5260841103
BRONZE,II,EUW1_5259160258
BRONZE,II,EUW1_5255318968
BRONZE,II,EUW1_5235534415
BRONZE,II,EUW1_5235487882
BRONZE,II,EUW1_5233891666
BRONZE,II,EUW1_5233753048
BRONZE,II,EUW1_5232145359
BRONZE,II,EUW1_5232015380
BRONZE,II,EUW1_5231808964
BRONZE,II,EUW1_5230296236
BRONZE,II,EUW1_5230179770
BRONZE,II,EUW1_5230096609
BRONZE,II,TR1_1171341838
BRONZE,II,TR1_1170994263
BRONZE,II,TR1_1171000025
BRONZE,II,TR1_1170954922
BRONZE,II,TR1_1170888169
BRONZE,II,TR1_1170885542
BRONZE,II,TR1_1170784285
BRONZE,II,EUW1_5402325171
BRONZE,II,EUW1_5399598680
BRONZE,II,EUW1_5390799817
BRONZE,II,EUW1_5390802949
BRONZE,II,EUW1_5389208794
BRONZE,II,EUW1_5389192509
BRONZE,II,EUW1_5389167807
BRONZE,II,EUW1_5389116105
BRONZE,II,EUW1_5388700081
BRONZE,II,EUW1_5388677057
BRONZE,II,EUW1_5359371435
BRONZE,II,EUW1_5359307361
BRONZE,II,EUW1_5358522363
BRONZE,II,EUW1_5358026349
BRONZE,II,EUW1_5289443325
BRONZE,II,EUW1_5289409237
BRONZE,II,EUW1_5227825727
BRONZE,II,EUW1_5227820967
BRONZE,II,EUW1_5217459345
BRONZE,II,EUW1_5210880315
BRONZE,II,EUW1_5210769974
BRONZE,II,EUW1_5197711487
BRONZE,II,EUW1_5195874596
BRONZE,II,EUW1_5193348888
BRONZE,II,EUW1_5192135561
BRONZE,II,EUW1_5424853120
BRONZE,II,EUW1_5424820928
BRONZE,II,EUW1_5312227875
BRONZE,II,EUW1_5304050781
BRONZE,II,EUW1_5093452130
BRONZE,II,EUW1_5093286993
BRONZE,II,EUW1_5091831814
BRONZE,II,EUW1_5091383624
BRONZE,II,EUW1_5091146520
BRONZE,II,EUW1_5091097507
BRONZE,II,EUW1_5091092023
BRONZE,II,EUW1_5090856260
BRONZE,II,EUW1_5090739695
BRONZE,II,EUW1_5090732141
BRONZE,II,EUW1_5090617306
BRONZE,II,EUW1_5090549256
BRONZE,II,EUW1_5090592993
BRONZE,II,EUW1_5090452740
BRONZE,II,EUW1_5089873066
BRONZE,II,EUW1_5089761640
BRONZE,II,EUW1_5089506737
BRONZE,II,EUW1_5087946956
BRONZE,II,EUW1_5087945417
BRONZE,II,EUW1_5087938809
BRONZE,II,EUW1_5087828471
BRONZE,II,EUW1_5412139109
BRONZE,II,EUW1_5412096296
BRONZE,II,EUW1_5411250739
BRONZE,II,EUW1_5410404391
BRONZE,II,EUW1_5410432461
BRONZE,II,EUW1_5410293128
BRONZE,II,EUW1_5409422616
BRONZE,II,EUW1_5409289057
BRONZE,II,EUW1_5409295245
BRONZE,II,EUW1_5409371819
BRONZE,II,EUW1_5408919527
BRONZE,II,EUW1_5408334319
BRONZE,II,EUW1_5407588976
BRONZE,II,EUW1_5407132921
BRONZE,II,EUW1_5406830189
BRONZE,II,EUW1_5405655774
BRONZE,II,EUW1_5404904827
BRONZE,II,EUW1_5404382097
BRONZE,II,EUW1_5403955830
BRONZE,II,EUW1_5402429034
BRONZE,II,EUW1_5402483936
BRONZE,II,EUW1_5401707010
BRONZE,II,EUW1_5400900570
BRONZE,II,EUW1_5400675754
BRONZE,II,EUW1_5400143864
BRONZE,II,EUW1_5107180370
BRONZE,II,EUW1_5105779763
BRONZE,II,EUW1_5099203074
BRONZE,II,EUW1_5098809035
BRONZE,II,EUW1_5097429642
BRONZE,II,EUW1_5097441653
BRONZE,II,EUW1_5096946835
BRONZE,II,EUW1_5096595120
BRONZE,II,EUW1_5096553613
BRONZE,II,EUW1_5095926258
BRONZE,II,EUW1_5095821378
BRONZE,II,EUW1_5095357598
BRONZE,II,EUW1_5084496840
BRONZE,II,EUW1_5082259064
BRONZE,II,EUW1_5383081798
BRONZE,II,EUW1_5381688942
BRONZE,II,EUW1_5381636403
BRONZE,II,EUW1_5381652650
BRONZE,II,EUW1_5381044528
BRONZE,II,EUW1_5381006741
BRONZE,II,EUW1_5380981360
BRONZE,II,EUW1_5380680732
BRONZE,II,EUW1_5380557687
BRONZE,II,EUW1_5380575252
BRONZE,II,EUW1_5380582080
BRONZE,II,EUW1_5380551050
BRONZE,II,EUW1_5379200708
BRONZE,II,EUW1_5379096313
BRONZE,II,EUW1_5089302257
BRONZE,II,EUW1_5089215306
BRONZE,II,EUW1_5065941739
BRONZE,II,EUW1_5065722443
BRONZE,II,EUW1_5065646130
BRONZE,II,EUW1_5065569056
BRONZE,II,EUW1_5065458603
BRONZE,II,EUW1_5065422485
BRONZE,II,EUW1_5065290605
BRONZE,II,EUW1_5065189282
BRONZE,II,EUW1_5064798256
BRONZE,II,EUW1_5484177938
BRONZE,II,EUW1_5484162813
BRONZE,II,EUW1_5422131876
BRONZE,II,EUW1_5422029306
BRONZE,II,EUW1_5422075000
BRONZE,II,EUW1_5422052143
BRONZE,II,EUW1_5421984390
BRONZE,II,EUW1_5421879570
BRONZE,II,EUW1_5421855032
BRONZE,II,EUW1_5279808894
BRONZE,II,EUW1_5279786495
BRONZE,II,EUW1_5278056995
BRONZE,II,EUW1_5274841547
BRONZE,II,EUW1_5274808424
BRONZE,II,EUW1_5265615170
BRONZE,II,EUW1_5265320353
BRONZE,II,EUW1_5261645217
BRONZE,II,EUW1_5259788214
BRONZE,II,EUW1_5259824466
BRONZE,II,EUW1_5258089383
BRONZE,II,EUW1_5258085115
BRONZE,II,EUW1_5258070728
BRONZE,II,EUW1_5251629602
BRONZE,II,EUW1_5251564177
BRONZE,II,EUW1_5251490703
BRONZE,II,EUW1_5532230972
BRONZE,II,EUW1_5531953440
BRONZE,II,EUW1_5531817728
BRONZE,II,EUW1_5531529902
BRONZE,II,EUW1_5531526660
BRONZE,II,EUW1_5530173047
BRONZE,II,EUW1_5529855527
BRONZE,II,EUW1_5529800692
BRONZE,II,EUW1_5529028470
BRONZE,II,EUW1_5528047018
BRONZE,II,EUW1_5521463007
BRONZE,II,EUW1_5520989645
BRONZE,II,EUW1_5520944251
BRONZE,II,EUW1_5520970580
BRONZE,II,EUW1_5519469916
BRONZE,II,EUW1_5519307916
BRONZE,II,EUW1_5519312129
BRONZE,II,EUW1_5513709803
BRONZE,II,EUW1_5510976127
BRONZE,II,EUW1_5508089028
BRONZE,II,EUW1_5478741677
BRONZE,II,EUW1_5478605522
BRONZE,II,EUW1_5478589571
BRONZE,II,EUW1_5478535890
BRONZE,II,EUW1_5478398752
BRONZE,II,EUW1_5475295842
BRONZE,II,EUW1_5474752961
BRONZE,II,EUW1_5473746344
BRONZE,II,EUW1_5473750622
BRONZE,II,EUW1_5473478693
BRONZE,II,EUW1_5473306468
BRONZE,II,EUW1_5472588863
BRONZE,II,EUW1_5472500160
BRONZE,II,EUW1_5472534059
BRONZE,II,EUW1_5472406154
BRONZE,II,EUW1_5472462101
BRONZE,II,EUW1_5472268912
BRONZE,II,EUW1_5472184272
BRONZE,II,EUW1_5467434010
BRONZE,II,EUW1_5467181481
BRONZE,II,EUW1_5466954589
BRONZE,II,EUW1_5466824996
BRONZE,II,EUW1_5466769003
BRONZE,II,EUW1_5466249255
BRONZE,II,EUW1_5465422086
BRONZE,II,EUW1_5465239527
BRONZE,II,EUW1_5464256669
BRONZE,II,EUW1_5464191550
BRONZE,II,EUW1_5464091272
BRONZE,II,EUW1_5463996265
BRONZE,II,EUW1_5105919909
BRONZE,II,EUW1_5105734995
BRONZE,II,EUW1_5044988945
BRONZE,II,EUW1_5043021167
BRONZE,II,EUW1_5041372890
BRONZE,II,EUW1_5037756894
BRONZE,II,EUW1_5037245463
BRONZE,II,EUW1_5036926294
BRONZE,II,EUW1_5035474728
BRONZE,II,EUW1_5035188416
BRONZE,II,EUW1_5035008032
BRONZE,II,EUW1_5034722817
BRONZE,II,EUW1_5034638777
BRONZE,II,EUW1_5033857285
BRONZE,II,EUW1_5033791711
BRONZE,II,EUW1_5033707056
BRONZE,II,EUW1_5033564091
BRONZE,II,EUW1_5033349514
BRONZE,II,EUW1_5388093779
BRONZE,II,EUW1_5388019515
BRONZE,II,EUW1_5342946563
BRONZE,II,EUW1_5340383967
BRONZE,II,EUW1_5340102002
BRONZE,II,EUW1_5340028651
BRONZE,II,EUW1_5338558417
BRONZE,II,EUW1_5338556845
BRONZE,II,EUW1_5333338488
BRONZE,II,EUW1_5333273419
BRONZE,II,EUW1_5234195647
BRONZE,II,EUW1_5234210965
BRONZE,II,EUW1_5204170890
BRONZE,II,EUW1_5040337863
BRONZE,II,EUW1_5445843229
BRONZE,II,EUW1_5424410001
BRONZE,II,EUW1_5419820532
BRONZE,II,EUW1_5419698863
BRONZE,II,EUW1_5419663301
BRONZE,II,EUW1_5418453320
BRONZE,II,EUW1_5417206457
BRONZE,II,EUW1_5413515627
BRONZE,II,EUW1_5412725263
BRONZE,II,EUW1_5412486579
BRONZE,II,EUW1_5412198236
BRONZE,II,EUW1_5410773396
BRONZE,II,EUW1_5410710774
BRONZE,II,EUW1_5409851719
BRONZE,II,EUW1_5409726822
BRONZE,II,EUW1_5409732442
BRONZE,II,EUW1_5409587039
BRONZE,II,EUW1_5409622115
BRONZE,II,EUW1_5406544071
BRONZE,II,EUW1_5405523740
BRONZE,II,EUW1_5405292373
BRONZE,II,EUW1_5405186298
BRONZE,II,EUW1_5405162412
BRONZE,II,EUW1_5403403707
BRONZE,II,EUW1_5402510882
BRONZE,II,EUW1_5521951988
BRONZE,II,EUW1_5500566432
BRONZE,II,EUW1_5498338747
BRONZE,II,EUW1_5498331373
BRONZE,II,EUW1_5497816160
BRONZE,II,EUW1_5492545396
BRONZE,II,EUW1_5492385080
BRONZE,II,EUW1_5492340856
BRONZE,II,EUW1_5491572301
BRONZE,II,EUW1_5490500107
BRONZE,II,EUW1_5490460014
BRONZE,II,EUW1_5490534590
BRONZE,II,EUW1_5490443201
BRONZE,II,EUW1_5490378779
BRONZE,II,EUW1_5488710873
BRONZE,II,EUW1_5488645713
BRONZE,II,EUW1_5488591998
BRONZE,II,EUW1_5487274781
BRONZE,II,EUW1_5486973909
BRONZE,II,EUW1_5485698327
BRONZE,II,EUW1_5485667375
BRONZE,II,EUW1_5485714867
BRONZE,II,EUW1_5485654491
BRONZE,II,EUW1_5485682217
BRONZE,II,EUW1_5485540421
BRONZE,II,EUW1_5523644934
BRONZE,II,EUW1_5523520256
BRONZE,II,EUW1_5523495676
BRONZE,II,EUW1_5521742364
BRONZE,II,EUW1_5521656772
