tier,division,match_id
BRONZE,IV,EUW1_5257793225
BRONZE,IV,EUW1_5257659399
BRONZE,IV,EUW1_5257712352
BRONZE,IV,EUW1_5257530379
BRONZE,IV,EUW1_5257499445
BRONZE,IV,EUW1_5255907483
BRONZE,IV,EUW1_5255896003
BRONZE,IV,EUW1_5255912790
BRONZE,IV,EUW1_5255790288
BRONZE,IV,EUW1_5255734561
BRONZE,IV,EUW1_5250103820
BRONZE,IV,EUW1_5250000435
BRONZE,IV,EUW1_5249978043
BRONZE,IV,EUW1_5240138910
BRONZE,IV,EUW1_5240148494
BRONZE,IV,EUW1_5240156787
BRONZE,IV,EUW1_5240105620
BRONZE,IV,EUW1_5240164636
BRONZE,IV,EUW1_5240132252
BRONZE,IV,EUW1_5240030249
BRONZE,IV,EUW1_5240018059
BRONZE,IV,EUW1_5240064111
BRONZE,IV,EUW1_5240002197
BRONZE,IV,EUW1_5239897676
BRONZE,IV,EUW1_5239849026
BRONZE,IV,EUW1_5232390723
BRONZE,IV,EUW1_5232283695
BRONZE,IV,EUW1_5232194894
BRONZE,IV,EUW1_5230612444
BRONZE,IV,EUW1_5230566259
BRONZE,IV,EUW1_5226805665
BRONZE,IV,EUW1_5226800628
BRONZE,IV,EUW1_5226714866
BRONZE,IV,EUW1_5223601231
BRONZE,IV,EUW1_5223537424
BRONZE,IV,EUW1_5223564780
BRONZE,IV,EUW1_5215621461
BRONZE,IV,EUW1_5215589040
BRONZE,IV,EUW1_5215575741
BRONZE,IV,EUW1_5215500396
BRONZE,IV,EUW1_5207641280
BRONZE,IV,EUW1_5207406416
BRONZE,IV,EUW1_5207356670
BRONZE,IV,EUW1_5200060312
BRONZE,IV,EUW1_5200006953
BRONZE,IV,EUW1_5199786058
BRONZE,IV,EUW1_5199765993
BRONZE,IV,EUW1_5199637538
BRONZE,IV,EUW1_5199593763
BRONZE,IV,EUW1_5194110543
BRONZE,IV,EUW1_5193983820
BRONZE,IV,EUW1_5181671325
BRONZE,IV,EUW1_5181527923
BRONZE,IV,EUW1_5181472905
BRONZE,IV,EUW1_5176736753
BRONZE,IV,EUW1_5176715417
BRONZE,IV,EUW1_5176684575
BRONZE,IV,EUW1_5176721707
BRONZE,IV,EUW1_5176598273
BRONZE,IV,EUW1_5176519214
BRONZE,IV,EUW1_5176595097
BRONZE,IV,EUW1_5176533100
BRONZE,IV,EUW1_5176005244
BRONZE,IV,EUW1_5159078047
BRONZE,IV,EUW1_5159066579
BRONZE,IV,EUW1_5158870400
BRONZE,IV,EUW1_5158913574
BRONZE,IV,EUW1_5158788285
BRONZE,IV,EUW1_5158763677
BRONZE,IV,EUW1_5156642367
BRONZE,IV,EUW1_5149336557
BRONZE,IV,EUW1_5149354723
BRONZE,IV,EUW1_5149236502
BRONZE,IV,EUW1_5149264448
BRONZE,IV,EUW1_5149330872
BRONZE,IV,EUW1_5258826952
BRONZE,IV,EUW1_5256997381
BRONZE,IV,EUW1_5239063654
