tier,division,match_id
DIAMOND,II,EUW1_5492163793
DIAMOND,II,EUW1_5492150620
DIAMOND,II,EUW1_5492104792
DIAMOND,II,EUW1_5492130526
DIAMOND,II,EUW1_5492009686
DIAMOND,II,EUW1_5491943455
DIAMOND,II,EUW1_5491929488
DIAMOND,II,EUW1_5491849673
DIAMOND,II,EUW1_5491858028
DIAMOND,II,EUW1_5491895598
DIAMOND,II,EUW1_5491914308
DIAMOND,II,EUW1_5491931713
DIAMOND,II,EUW1_5491611132
DIAMOND,II,EUW1_5491523617
DIAMOND,II,EUW1_5491437381
DIAMOND,II,EUW1_5491401927
DIAMOND,II,EUW1_5491213832
DIAMOND,II,EUW1_5491078597
DIAMOND,II,EUW1_5490942335
DIAMOND,II,EUW1_5490848581
DIAMOND,II,EUW1_5490865073
DIAMOND,II,EUW1_5490839629
DIAMOND,II,EUW1_5490769387
DIAMOND,II,EUW1_5490727885
DIAMOND,II,EUW1_5490667376
DIAMOND,II,EUW1_5534270992
DIAMOND,II,EUW1_5534066268
DIAMOND,II,EUW1_5533809221
DIAMOND,II,EUW1_5533700325
DIAMOND,II,EUW1_5533586244
DIAMOND,II,EUW1_5533490342
DIAMOND,II,EUW1_5533492100
DIAMOND,II,EUW1_5533424200
DIAMOND,II,EUW1_5533338620
DIAMOND,II,EUW1_5533302738
DIAMOND,II,EUW1_5533195758
DIAMOND,II,EUW1_5533126993
DIAMOND,II,EUW1_5532711395
DIAMOND,II,EUW1_5532608598
DIAMOND,II,EUW1_5532564901
DIAMOND,II,EUW1_5532537128
DIAMOND,II,EUW1_5532481195
DIAMOND,II,EUW1_5532396024
DIAMOND,II,EUW1_5531018002
DIAMOND,II,EUW1_5531092415
DIAMOND,II,EUW1_5530769266
DIAMOND,II,EUW1_5530832891
DIAMOND,II,EUW1_5530619478
DIAMOND,II,EUW1_5530543790
DIAMOND,II,EUW1_5530420076
DIAMOND,II,EUW1_5531695982
DIAMOND,II,EUW1_5526928103
DIAMOND,II,EUW1_5526892238
DIAMOND,II,EUW1_5526413881
DIAMOND,II,EUW1_5525869705
DIAMOND,II,EUW1_5525447092
DIAMOND,II,EUW1_5525424218
DIAMOND,II,EUW1_5525411800
DIAMOND,II,EUW1_5525319098
DIAMOND,II,EUW1_5525296613
DIAMOND,II,EUW1_5525341706
DIAMOND,II,EUW1_5524772859
DIAMOND,II,EUW1_5524648483
DIAMOND,II,EUW1_5524643883
DIAMOND,II,EUW1_5524282789
DIAMOND,II,EUW1_5524213054
DIAMOND,II,EUW1_5524127623
DIAMOND,II,EUW1_5524079546
DIAMOND,II,EUW1_5524066414
DIAMOND,II,EUW1_5524014218
DIAMOND,II,EUW1_5524060537
DIAMOND,II,EUW1_5523196966
DIAMOND,II,EUW1_5523142701
DIAMOND,II,EUW1_5522877723
DIAMOND,II,EUW1_5522358130
DIAMOND,II,EUW1_5526782492
DIAMOND,II,EUW1_5525411880
DIAMOND,II,EUW1_5525288415
DIAMOND,II,EUW1_5525187029
DIAMOND,II,EUW1_5525184453
DIAMOND,II,EUW1_5524094977
DIAMOND,II,EUW1_5524081550
DIAMOND,II,EUW1_5524027769
DIAMOND,II,EUW1_5523984152
DIAMOND,II,EUW1_5524001081
DIAMOND,II,EUW1_5523908458
DIAMOND,II,EUW1_5523895122
DIAMOND,II,EUW1_5523883087
DIAMOND,II,EUW1_5522380065
DIAMOND,II,EUW1_5521710848
DIAMOND,II,EUW1_5521616866
DIAMOND,II,EUW1_5521610490
DIAMOND,II,EUW1_5521185632
DIAMOND,II,EUW1_5521172341
DIAMOND,II,EUW1_5521076571
DIAMOND,II,EUW1_5521042619
DIAMOND,II,EUW1_5520988452
DIAMOND,II,EUW1_5520954424
DIAMOND,II,EUW1_5520870326
DIAMOND,II,EUW1_5520878117
DIAMOND,II,EUW1_5533851805
DIAMOND,II,EUW1_5533735198
DIAMOND,II,EUW1_5532382032
DIAMOND,II,EUW1_5532265806
DIAMOND,II,EUW1_5531949996
DIAMOND,II,EUW1_5531487084
DIAMOND,II,EUW1_5530540392
DIAMOND,II,EUW1_5530315389
DIAMOND,II,EUW1_5529185078
DIAMOND,II,EUW1_5523133238
DIAMOND,II,EUW1_5521903889
DIAMOND,II,EUW1_5521815518
DIAMOND,II,EUW1_5521649401
DIAMOND,II,EUW1_5521653056
DIAMOND,II,EUW1_5521171356
DIAMOND,II,EUW1_5521047968
DIAMOND,II,EUW1_5521008435
DIAMOND,II,EUW1_5518314872
DIAMOND,II,EUW1_5518186765
DIAMOND,II,EUW1_5516972520
DIAMOND,II,EUW1_5516805739
DIAMOND,II,EUW1_5516473909
DIAMOND,II,EUW1_5515712954
DIAMOND,II,EUW1_5515476709
DIAMOND,II,EUW1_5515299951
DIAMOND,II,EUW1_5509195869
DIAMOND,II,EUW1_5509136797
DIAMOND,II,EUW1_5508928412
DIAMOND,II,EUW1_5507408138
DIAMOND,II,EUW1_5507370363
DIAMOND,II,EUW1_5507356541
DIAMOND,II,EUW1_5507224547
DIAMOND,II,EUW1_5507129793
DIAMOND,II,EUW1_5506013943
DIAMOND,II,EUW1_5505963978
DIAMOND,II,EUW1_5505829545
DIAMOND,II,EUW1_5504517016
DIAMOND,II,EUW1_5504500954
DIAMOND,II,EUW1_5504413813
DIAMOND,II,EUW1_5500511828
DIAMOND,II,EUW1_5500435299
DIAMOND,II,EUW1_5500226458
DIAMOND,II,EUW1_5500240679
DIAMOND,II,EUW1_5500124332
DIAMOND,II,EUW1_5498935773
DIAMOND,II,EUW1_5498849702
DIAMOND,II,EUW1_5498634540
DIAMOND,II,EUW1_5498608377
DIAMOND,II,EUW1_5498603387
DIAMOND,II,EUW1_5498299181
DIAMOND,II,EUW1_5534491613
DIAMOND,II,EUW1_5534356263
DIAMOND,II,EUW1_5534258934
DIAMOND,II,EUW1_5534300547
DIAMOND,II,EUW1_5532823089
DIAMOND,II,EUW1_5532792982
DIAMOND,II,EUW1_5532820842
DIAMOND,II,EUW1_5532668912
DIAMOND,II,EUW1_5532676483
DIAMOND,II,EUW1_5532702142
