tier,division,match_id
DIAMOND,III,EUW1_5534637989
DIAMOND,III,EUW1_5534563210
DIAMOND,III,EUW1_5533234352
DIAMOND,III,EUW1_5532005418
DIAMOND,III,EUW1_5532000746
DIAMOND,III,EUW1_5531903939
DIAMOND,III,EUW1_5531857745
DIAMOND,III,EUW1_5531533016
DIAMOND,III,EUW1_5531396059
DIAMOND,III,EUW1_5531394971
DIAMOND,III,EUW1_5531230144
DIAMOND,III,EUW1_5527465022
DIAMOND,III,EUW1_5527395209
DIAMOND,III,EUW1_5527319268
DIAMOND,III,EUW1_5527283617
DIAMOND,III,EUW1_5527240631
DIAMOND,III,EUW1_5526882620
DIAMOND,III,EUW1_5526770037
DIAMOND,III,EUW1_5525762926
DIAMOND,III,EUW1_5525597690
DIAMOND,III,EUW1_5525652659
DIAMOND,III,EUW1_5525407793
DIAMOND,III,EUW1_5525362021
DIAMOND,III,EUW1_5525186615
DIAMOND,III,EUW1_5525203635
DIAMOND,III,EUW1_5532548319
DIAMOND,III,EUW1_5532543157
DIAMOND,III,EUW1_5532379954
DIAMOND,III,EUW1_5532403899
DIAMOND,III,EUW1_5532358214
DIAMOND,III,EUW1_5532283295
DIAMOND,III,EUW1_5532208383
DIAMOND,III,EUW1_5532232752
DIAMOND,III,EUW1_5532065194
DIAMOND,III,EUW1_5532049529
DIAMOND,III,EUW1_5531976272
DIAMOND,III,EUW1_5531991127
DIAMOND,III,EUW1_5503329518
DIAMOND,III,EUW1_5503285511
DIAMOND,III,EUW1_5503215660
DIAMOND,III,EUW1_5487836198
DIAMOND,III,EUW1_5487861562
DIAMOND,III,EUW1_5487169259
DIAMOND,III,EUW1_5486967798
DIAMOND,III,EUW1_5487031473
DIAMOND,III,EUW1_5486817419
DIAMOND,III,EUW1_5486820578
DIAMOND,III,EUW1_5486623108
DIAMOND,III,EUW1_5486428058
DIAMOND,III,EUW1_5486443433
DIAMOND,III,EUW1_5533076033
DIAMOND,III,EUW1_5502158521
