tier,division,match_id
GOLD,II,EUW1_5110283824
GOLD,II,EUW1_5110235563
GOLD,II,EUW1_5083253614
GOLD,II,EUW1_5083203955
GOLD,II,EUW1_5083048353
GOLD,II,EUW1_5083030636
GOLD,II,EUW1_5081443753
GOLD,II,EUW1_5081321984
GOLD,II,EUW1_5081063351
GOLD,II,EUW1_5080863583
GOLD,II,EUW1_5080685660
GOLD,II,EUW1_5078991091
GOLD,II,EUW1_5078915182
GOLD,II,EUW1_5078757933
GOLD,II,EUW1_5078698894
GOLD,II,EUW1_5072349987
GOLD,II,EUW1_5072311672
GOLD,II,EUW1_5072223227
GOLD,II,EUW1_5072116509
GOLD,II,EUW1_5072049433
GOLD,II,EUW1_5070085561
GOLD,II,EUW1_5070010796
GOLD,II,EUW1_5069954917
GOLD,II,EUW1_5059993790
GOLD,II,EUW1_5059828160
GOLD,II,EUW1_5350536054
GOLD,II,EUW1_5286350839
GOLD,II,EUW1_5286215934
GOLD,II,EUW1_5283904839
GOLD,II,EUW1_5283769719
GOLD,II,EUW1_5283804305
GOLD,II,EUW1_5271497770
GOLD,II,EUW1_5271481519
GOLD,II,EUW1_5262485388
GOLD,II,EUW1_5240684298
GOLD,II,EUW1_5240520346
GOLD,II,EUW1_5236633715
GOLD,II,EUW1_5227308393
GOLD,II,EUW1_5227315126
GOLD,II,EUW1_5226459646
GOLD,II,EUW1_5226360100
GOLD,II,EUW1_5226302649
GOLD,II,EUW1_5226234672
GOLD,II,EUW1_5226119114
GOLD,II,EUW1_5225741114
GOLD,II,EUW1_5225629196
GOLD,II,EUW1_5225556683
GOLD,II,EUW1_5225592980
GOLD,II,EUW1_5221150086
GOLD,II,EUW1_5221131641
GOLD,II,EUW1_5260201364
GOLD,II,EUW1_5260077009
GOLD,II,EUW1_5260073670
GOLD,II,EUW1_5248934976
GOLD,II,EUW1_5248908349
GOLD,II,EUW1_5085817612
GOLD,II,EUW1_5085686513
GOLD,II,EUW1_5085628444
GOLD,II,EUW1_5079583957
GOLD,II,EUW1_5079548214
GOLD,II,EUW1_5079493716
GOLD,II,EUW1_5079386283
