tier,division,match_id
GRANDMASTERS,GR,EUW1_5534811223
GRANDMASTERS,GR,EUW1_5534636568
GRANDMASTERS,GR,EUW1_5534449802
GRANDMASTERS,GR,EUW1_5534335868
GRANDMASTERS,GR,EUW1_5534230230
GRANDMASTERS,GR,EUW1_5534135742
GRANDMASTERS,GR,EUW1_5533937148
GRANDMASTERS,GR,EUW1_5533499510
GRANDMASTERS,GR,EUW1_5533268758
GRANDMASTERS,GR,EUW1_5533263182
GRANDMASTERS,GR,EUW1_5533234431
GRANDMASTERS,GR,EUW1_5533051272
GRANDMASTERS,GR,EUW1_5532947947
GRANDMASTERS,GR,EUW1_5532595736
GRANDMASTERS,GR,EUW1_5532116597
GRANDMASTERS,GR,EUW1_5531506588
GRANDMASTERS,GR,EUW1_5530779291
GRANDMASTERS,GR,EUW1_5530667099
GRANDMASTERS,GR,EUW1_5530664409
GRANDMASTERS,GR,EUW1_5530568733
GRANDMASTERS,GR,EUW1_5530523267
GRANDMASTERS,GR,EUW1_5530335553
GRANDMASTERS,GR,EUW1_5530224167
GRANDMASTERS,GR,EUW1_5530148956
GRANDMASTERS,GR,EUW1_5530193030
GRANDMASTERS,GR,EUW1_5532444131
GRANDMASTERS,GR,EUW1_5532339740
GRANDMASTERS,GR,EUW1_5532284463
GRANDMASTERS,GR,EUW1_5532234388
GRANDMASTERS,GR,EUW1_5532116597
GRANDMASTERS,GR,EUW1_5532092297
GRANDMASTERS,GR,EUW1_5530331662
GRANDMASTERS,GR,EUW1_5529912713
GRANDMASTERS,GR,EUW1_5529847771
GRANDMASTERS,GR,EUW1_5529827107
GRANDMASTERS,GR,EUW1_5529205776
GRANDMASTERS,GR,EUW1_5529110286
GRANDMASTERS,GR,EUW1_5529132609
GRANDMASTERS,GR,EUW1_5529033574
GRANDMASTERS,GR,EUW1_5528968651
GRANDMASTERS,GR,EUW1_5528853921
GRANDMASTERS,GR,EUW1_5528821347
GRANDMASTERS,GR,EUW1_5528696362
GRANDMASTERS,GR,EUW1_5528570318
GRANDMASTERS,GR,EUW1_5528526557
GRANDMASTERS,GR,EUW1_5528504310
GRANDMASTERS,GR,EUW1_5528299481
GRANDMASTERS,GR,EUW1_5528286441
GRANDMASTERS,GR,EUW1_5528283433
GRANDMASTERS,GR,EUW1_5527373506
GRANDMASTERS,GR,EUW1_5534591592
GRANDMASTERS,GR,EUW1_5534519635
GRANDMASTERS,GR,EUW1_5534449802
GRANDMASTERS,GR,EUW1_5534507025
GRANDMASTERS,GR,EUW1_5533397910
GRANDMASTERS,GR,EUW1_5533364507
GRANDMASTERS,GR,EUW1_5533238394
GRANDMASTERS,GR,EUW1_5533223156
GRANDMASTERS,GR,EUW1_5533077209
GRANDMASTERS,GR,EUW1_5532744819
GRANDMASTERS,GR,EUW1_5532693036
GRANDMASTERS,GR,EUW1_5532535795
GRANDMASTERS,GR,EUW1_5532420968
GRANDMASTERS,GR,EUW1_5532067833
GRANDMASTERS,GR,EUW1_5531853878
GRANDMASTERS,GR,EUW1_5531343194
GRANDMASTERS,GR,EUW1_5531240327
GRANDMASTERS,GR,EUW1_5531350894
GRANDMASTERS,GR,EUW1_5531179169
GRANDMASTERS,GR,EUW1_5531216227
GRANDMASTERS,GR,EUW1_5531251997
GRANDMASTERS,GR,EUW1_5530030993
GRANDMASTERS,GR,EUW1_5529187550
GRANDMASTERS,GR,EUW1_5529132609
GRANDMASTERS,GR,EUW1_5529036855
GRANDMASTERS,GR,EUW1_5534086002
GRANDMASTERS,GR,EUW1_5533828760
GRANDMASTERS,GR,EUW1_5533584099
GRANDMASTERS,GR,EUW1_5533476741
GRANDMASTERS,GR,EUW1_5533447290
GRANDMASTERS,GR,EUW1_5533452075
GRANDMASTERS,GR,EUW1_5531500228
GRANDMASTERS,GR,EUW1_5531543803
GRANDMASTERS,GR,EUW1_5530460564
GRANDMASTERS,GR,EUW1_5529850628
GRANDMASTERS,GR,EUW1_5528856497
GRANDMASTERS,GR,EUW1_5528821347
GRANDMASTERS,GR,EUW1_5527406794
GRANDMASTERS,GR,EUW1_5526935795
GRANDMASTERS,GR,EUW1_5526347201
GRANDMASTERS,GR,EUW1_5526312812
GRANDMASTERS,GR,EUW1_5525212859
GRANDMASTERS,GR,EUW1_5525169135
GRANDMASTERS,GR,EUW1_5524188714
GRANDMASTERS,GR,EUW1_5524211802
GRANDMASTERS,GR,EUW1_5524148413
GRANDMASTERS,GR,EUW1_5524043654
GRANDMASTERS,GR,EUW1_5523896812
GRANDMASTERS,GR,EUW1_5523099679
GRANDMASTERS,GR,EUW1_5522670549
GRANDMASTERS,GR,EUW1_5526646176
GRANDMASTERS,GR,EUW1_5526579732
GRANDMASTERS,GR,EUW1_5519782304
GRANDMASTERS,GR,EUW1_5518788874
GRANDMASTERS,GR,EUW1_5518842535
GRANDMASTERS,GR,EUW1_5518668173
GRANDMASTERS,GR,EUW1_5518498248
GRANDMASTERS,GR,EUW1_5518542327
GRANDMASTERS,GR,EUW1_5518390784
GRANDMASTERS,GR,EUW1_5518276352
GRANDMASTERS,GR,EUW1_5518352499
GRANDMASTERS,GR,EUW1_5518196544
GRANDMASTERS,GR,EUW1_5518128785
GRANDMASTERS,GR,EUW1_5518009896
GRANDMASTERS,GR,EUW1_5518005172
GRANDMASTERS,GR,EUW1_5517971236
GRANDMASTERS,GR,EUW1_5517957768
GRANDMASTERS,GR,EUW1_5517487356
GRANDMASTERS,GR,EUW1_5517534358
GRANDMASTERS,GR,EUW1_5517188280
GRANDMASTERS,GR,EUW1_5517194974
GRANDMASTERS,GR,EUW1_5517141748
GRANDMASTERS,GR,EUW1_5516621157
GRANDMASTERS,GR,EUW1_5515593230
GRANDMASTERS,GR,EUW1_5515408709
GRANDMASTERS,GR,EUW1_5531645188
GRANDMASTERS,GR,EUW1_5528866828
GRANDMASTERS,GR,EUW1_5528843773
GRANDMASTERS,GR,EUW1_5528759861
GRANDMASTERS,GR,EUW1_5528744434
GRANDMASTERS,GR,EUW1_5528330455
GRANDMASTERS,GR,EUW1_5528237508
GRANDMASTERS,GR,EUW1_5528314105
GRANDMASTERS,GR,EUW1_5527060069
GRANDMASTERS,GR,EUW1_5527043860
GRANDMASTERS,GR,EUW1_5526981137
GRANDMASTERS,GR,EUW1_5525330978
GRANDMASTERS,GR,EUW1_5525276370
GRANDMASTERS,GR,EUW1_5524181746
GRANDMASTERS,GR,EUW1_5524115411
GRANDMASTERS,GR,EUW1_5524030106
GRANDMASTERS,GR,EUW1_5522395952
GRANDMASTERS,GR,EUW1_5521510571
GRANDMASTERS,GR,EUW1_5517967767
GRANDMASTERS,GR,EUW1_5516741049
GRANDMASTERS,GR,EUW1_5513573120
GRANDMASTERS,GR,EUW1_5504253340
GRANDMASTERS,GR,EUW1_5504149632
GRANDMASTERS,GR,EUW1_5504174050
GRANDMASTERS,GR,EUW1_5504098604
GRANDMASTERS,GR,EUW1_5534437182
GRANDMASTERS,GR,EUW1_5532725603
GRANDMASTERS,GR,EUW1_5531841394
GRANDMASTERS,GR,EUW1_5530075005
GRANDMASTERS,GR,EUW1_5528219394
GRANDMASTERS,GR,EUW1_5526941162
GRANDMASTERS,GR,EUW1_5525276370
GRANDMASTERS,GR,EUW1_5524050260
GRANDMASTERS,GR,EUW1_5522389027
GRANDMASTERS,GR,EUW1_5520751218
GRANDMASTERS,GR,EUW1_5514313549
GRANDMASTERS,GR,EUW1_5508801260
GRANDMASTERS,GR,EUW1_5508715379
GRANDMASTERS,GR,EUW1_5506495014
GRANDMASTERS,GR,EUW1_5501005121
GRANDMASTERS,GR,EUW1_5500993521
GRANDMASTERS,GR,EUW1_5501012192
GRANDMASTERS,GR,EUW1_5500969079
GRANDMASTERS,GR,EUW1_5500889413
GRANDMASTERS,GR,EUW1_5500896471
GRANDMASTERS,GR,EUW1_5500921600
GRANDMASTERS,GR,EUW1_5500817222
GRANDMASTERS,GR,EUW1_5496087508
GRANDMASTERS,GR,EUW1_5496113506
