,tier,game_duration,winner,first_kill,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,kill_advantage,gold_advantage,cs_advantage,damage_advantage,tower_advantage,plate_advantage,inhibitor_advantage,dragon_advantage,rift_advantage
7628,BRONZE,1404,-1.0,-1.0,1.0,-1.0,0.0,-1.0,1.0,-1,-1,-1,-1,0,1,0,-1,1
1513,BRONZE,1129,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,1,1,1,-1,-1,0,1,0
6114,BRONZE,2606,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,-1,-1,0,-1,-1
29828,BRONZE,1536,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1,1,1,1,0,-1,0,1,-1
8874,BRONZE,1460,-1.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,-1,-1,-1,-1,1,1,0,0,-1
6290,BRONZE,2044,1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,-1,-1,-1,-1,0,1,0,1,0
3010,BRONZE,1582,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,0,-1,0,1,1
9104,BRONZE,2028,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,0,-1,0,1,0
3575,BRONZE,1661,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1,-1,-1,1,0,1,0,-1,-1
18171,BRONZE,1729,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1,1,0,-1,0,-1,1
14217,BRONZE,2627,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1,1,-1,1,0,1,0,-1,-1
10016,BRONZE,2164,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1,-1,1,-1,0,0,0,1,1
29335,BRONZE,2424,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1,-1,-1,1,1,1,0,0,-1
6577,BRONZE,1677,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,-1,-1,1,-1,0,-1,0,-1,1
3042,BRONZE,1504,1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1,-1,-1,-1,0,1,0,0,-1
26715,BRONZE,1765,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,-1,-1,0,-1,0,-1,0
10829,BRONZE,1656,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1,-1,-1,1,-1,-1,0,-1,0
13394,BRONZE,2119,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,0,-1,-1,-1,0,-1,0,-1,0
4620,BRONZE,1882,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1,1,0,-1,0,-1,0
10759,BRONZE,2529,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1,-1,1,-1,0,-1,0,0,0
25828,BRONZE,2192,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1,-1,1,-1,0,1,0,1,-1
5210,BRONZE,1739,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,-1,-1,0,1,1
1882,BRONZE,1929,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0,1,1,1,0,0,0,1,-1
8089,BRONZE,1475,-1.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0,0,-1,-1,-1,0,1,0,-1,-1
4855,BRONZE,1967,1.0,-1.0,1.0,1.0,0.0,1.0,-1.0,1,-1,-1,1,0,1,0,1,-1
16762,BRONZE,1862,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1,1,1,1,0,-1,0,-1,0
14700,BRONZE,1939,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1,-1,1,-1,1,1,0,0,-1
11325,BRONZE,1590,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1,1,1,1,0,0,0,1,-1
9489,BRONZE,2190,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0,-1,-1,-1,0,1,0,0,0
7963,BRONZE,1700,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1,-1,-1,-1,0,1,0,-1,0
999,BRONZE,2086,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1,1,1,1,0,1,0,1,-1
340,BRONZE,2239,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1,1,-1,1,1,1,0,0,-1
6120,BRONZE,2914,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1,1,1,1,0,-1,0,-1,0
30629,BRONZE,1989,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,0,1,1,1,-1,-1,0,1,-1
18765,BRONZE,2016,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1,-1,1,-1,0,1,0,-1,1
1519,BRONZE,1293,-1.0,-1.0,1.0,-1.0,0.0,-1.0,0.0,1,1,1,1,0,-1,0,-1,0
4576,BRONZE,2906,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,-1,-1,-1,0,1,0,1,-1
6299,BRONZE,1769,1.0,-1.0,1.0,0.0,1.0,1.0,1.0,0,1,-1,-1,0,-1,0,1,1
7075,BRONZE,2057,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1,1,-1,0,-1,0,1,1
16360,BRONZE,2205,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1,-1,-1,-1,0,1,0,1,0
1721,BRONZE,1255,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,1,1,1,1,0,0,0,1,0
7834,BRONZE,1404,-1.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,-1,-1,1,-1,0,-1,0,-1,0
25628,BRONZE,1420,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,-1,-1,0,1,1
2525,BRONZE,1823,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,-1,0,1,0,-1,0
