,tier,winner,first_kill,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,kill_advantage,gold_advantage,cs_advantage,damage_advantage,tower_advantage,plate_advantage,inhibitor_advantage,baron_advantage,dragon_advantage,rift_advantage
680,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,-1,1,-1,-1,-1,-1,-1,1,-1
3545,BRONZE,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1,1,1,1,1,1,0,0,1,-1
614,BRONZE,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
645,BRONZE,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1,1,1,1,1,1,1,0,-1,1
1807,BRONZE,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,-1,-1,-1,-1,-1,1,-1
3917,BRONZE,1.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,1,1,1,1,1,1,1,0,1,-1
3239,BRONZE,1.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,0,1,1,1,1,1,0,0,-1,-1
2444,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,-1,-1,1,-1,1,0,0,1,0
1081,BRONZE,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,-1,-1,-1,-1,0,-1,-1
2859,BRONZE,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
3318,BRONZE,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,0,0,1,0
3282,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,1,-1,-1,0,0,-1,-1
4349,BRONZE,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,-1,1,0,1,1
4682,BRONZE,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1,1,1,1,1,1,1,0,-1,1
2484,BRONZE,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1,1,1,-1,1,-1,0,0,-1,0
3419,BRONZE,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1,1,-1,1,1,1,0,0,-1,1
692,BRONZE,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.0,1,1,1,1,1,-1,0,0,1,0
287,BRONZE,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1,-1,-1,-1,-1,1,0,0,-1,0
3692,BRONZE,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1,1,1,-1,-1,-1,0,0,-1,-1
532,BRONZE,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1,1,1,-1,1,-1,0,0,-1,-1
1641,BRONZE,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1,-1,1,-1,-1,-1,0,0,-1,-1
2139,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
544,BRONZE,1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,1,1,1,1,1,-1,0,0,-1,0
96,BRONZE,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,-1,-1,-1,-1,-1,1,-1,0,-1,0
1279,BRONZE,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1,1,1,-1,0,1,0,0,-1,-1
3014,BRONZE,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1,1,-1,1,-1,-1,0,1,1,-1
4808,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,0,-1,1,-1,-1,-1,0,0,-1,0
54,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,1,-1,-1,0,0,-1,-1
2973,BRONZE,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1,1,1,1,1,-1,0,1,1,0
2449,BRONZE,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1,1,1,1,0,0,-1,1
3882,BRONZE,1.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,-1,-1,-1,-1,-1,-1,0,0,-1,1
1647,BRONZE,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1,-1,-1,1,-1,-1,0,0,-1,-1
1579,BRONZE,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1,1,1,1,1,1,0,0,0,0
4530,BRONZE,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1,1,1,1,-1,-1,0,0,-1,-1
1749,BRONZE,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,0,1,-1,1,1,1,1,0,-1,1
3190,BRONZE,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,-1,-1,1,0,-1,-1,-1
3588,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,1,-1,1,0,0,-1,-1
3931,BRONZE,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1,-1,1,-1,-1,-1,0,0,-1,-1
4753,BRONZE,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1,-1,-1,-1,-1,-1,0,1,-1,-1
2556,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,0,1,1
4532,BRONZE,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1,1,-1,1,0,-1,0,0,-1,0
77,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1
349,BRONZE,-1.0,1.0,1.0,-1.0,0.0,1.0,1.0,-1,-1,-1,-1,-1,-1,0,0,-1,1
566,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,-1,-1,-1,-1,-1,-1,0,0,-1,0
355,BRONZE,-1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1
4384,BRONZE,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,1,1,-1,1,1,1,0,0,-1,-1
2850,BRONZE,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1,1,-1,1,1,1,0,0,1,1
4294,BRONZE,1.0,1.0,-1.0,1.0,0.0,-1.0,1.0,1,1,-1,-1,-1,0,0,0,-1,0
2260,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,0,0,1,1
4149,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,-1,-1,-1,-1,-1,0,0,1,-1
1997,BRONZE,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1,-1,1,1,-1,-1,0,0,-1,-1
2924,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1
