,tier,winner,first_kill,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,kill_advantage,gold_advantage,cs_advantage,damage_advantage,tower_advantage,plate_advantage,inhibitor_advantage,baron_advantage,dragon_advantage,rift_advantage
153,BRONZE,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1,1,1,1,1,1,0,0,-1,1
3719,BRONZE,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1,1,1,-1,1,1,1,-1,1,1
3211,BRONZE,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,-1,1,1,0,0,-1,-1
286,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,-1,-1,-1,0,0,-1,0
144,BRONZE,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1,1,1,1,1,1,0,0,-1,1
2140,BRONZE,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1,-1,-1,-1,-1,-1,0,0,1,0
1493,BRONZE,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,1,1,1,1,1,1,0,0,1,1
2303,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1,1,-1,1,1,0,0,-1,-1
2580,BRONZE,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1,1,1,-1,1,1,0,0,1,1
461,BRONZE,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1,-1,-1,-1,-1,0,0,0,-1,1
3955,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,0,1,1,0
3902,BRONZE,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1,1,1,1,1,0,1,1,-1,1
1850,BRONZE,-1.0,-1.0,1.0,-1.0,0.0,-1.0,1.0,1,1,1,1,1,1,0,0,0,1
2643,BRONZE,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1,1,-1,1,-1,1,0,0,-1,-1
