,tier,game_duration,winner,first_kill,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,kill_advantage,gold_advantage,cs_advantage,damage_advantage,tower_advantage,plate_advantage,inhibitor_advantage,dragon_advantage,rift_advantage
7628,BRONZE,1404,-1.0,-1.0,1.0,-1.0,0.0,-1.0,1.0,-12,-6656,-98,-10004,0,4,0,-1,1
1513,BRONZE,1129,1.0,1.0,1.0,1.0,0.0,1.0,0.0,16,12078,153,13371,-2,-13,0,1,0
6114,BRONZE,2606,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,9,7428,115,3669,-2,-9,0,-1,-1
29828,BRONZE,1536,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,10,5829,89,8052,0,-8,0,1,-1
8874,BRONZE,1460,-1.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,-9,-8175,-194,-11059,1,9,0,0,-1
6290,BRONZE,2044,1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,-6,-2734,-4,-8885,0,4,0,1,0
3010,BRONZE,1582,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,6,5513,106,8073,0,-6,0,1,1
9104,BRONZE,2028,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,8,4281,100,1334,0,-4,0,2,0
3575,BRONZE,1661,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-7,-4312,-59,2220,0,3,0,-2,-1
18171,BRONZE,1729,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-4,1149,63,1931,0,-2,0,-1,1
14217,BRONZE,2627,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1,908,-34,2415,0,1,0,-1,-1
10016,BRONZE,2164,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-2,-22,63,-641,0,0,0,1,1
29335,BRONZE,2424,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1,-3505,-69,6401,1,8,0,0,-1
6577,BRONZE,1677,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,-7,-2456,58,-1501,0,-1,0,-2,1
3042,BRONZE,1504,1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1,-4070,-108,-2800,0,1,0,0,-1
26715,BRONZE,1765,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,3,2633,-14,-918,0,-5,0,-1,0
