,tier,winner,first_kill,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,kill_advantage,gold_advantage,cs_advantage,damage_advantage,tower_advantage,plate_advantage,inhibitor_advantage,dragon_advantage,rift_advantage,baron_advantage
6772,BRONZE,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1,2634,26,901,2,-3,0,1,-1,0
1093,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,-787,79,4871,1,5,0,3,2,0
1633,BRONZE,1.0,1.0,1.0,1.0,0.0,-1.0,-1.0,9,7247,39,15743,5,2,1,2,-1,0
2704,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-16,-11081,-37,-24123,-3,-6,0,1,-1,0
9465,BRONZE,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,6,-1857,-81,434,-3,-2,0,-2,-2,0
3211,BRONZE,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,11,8099,-52,7881,0,-6,0,2,-1,1
3089,BRONZE,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,5,1558,-26,5551,1,-2,0,-1,-1,0
1374,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,2,-6130,-114,-5461,-3,-7,0,3,-1,0
631,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4,-2844,-21,-3511,-1,-3,0,-1,-1,0
7031,BRONZE,1.0,-1.0,1.0,1.0,0.0,-1.0,1.0,6,10435,115,20729,7,6,0,-1,2,0
6389,BRONZE,-1.0,-1.0,1.0,-1.0,0.0,-1.0,1.0,-10,-4082,-67,-13368,-1,3,0,-3,0,0
14624,BRONZE,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,5,2721,-74,-5858,3,0,0,-1,1,0
11023,BRONZE,-1.0,1.0,1.0,0.0,0.0,-1.0,1.0,-8,-4506,-54,-31821,-4,0,0,-3,1,0
1479,BRONZE,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1,-2057,19,-2636,-3,-1,0,-3,-2,0
12362,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-8,-9215,-78,-20749,-2,-1,0,-3,-1,0
9849,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-11,-8992,-60,-25208,-7,-6,0,-2,-1,0
