,tier,winner,first_kill,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,kill_advantage,gold_advantage,cs_advantage,damage_advantage,tower_advantage,plate_advantage,inhibitor_advantage,dragon_advantage,rift_advantage,baron_advantage
24182,BRONZE,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,3,7354,72,24920,2,8,0,-1,1,0
11095,BRONZE,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-6,316,77,-7851,5,6,1,1,1,-1
9238,BRONZE,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,2,880,59,-4156,4,1,0,-1,-1,0
3100,BRONZE,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-10,-5034,12,-8164,-3,-1,0,-3,0,0
6757,BRONZE,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,3,7307,143,6028,3,5,0,-1,2,0
1450,BRONZE,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,4,-2391,-58,-15982,-5,-8,0,1,0,0
5443,BRONZE,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,14,11643,65,6164,3,4,0,1,1,0
21595,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-3,1955,31,-989,1,6,0,-1,-2,0
8479,BRONZE,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-2,2630,85,-6811,2,9,0,3,2,0
2289,BRONZE,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-2,-4927,-46,-9702,-2,0,0,-1,1,0
19055,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,7658,39,8533,4,9,0,1,0,1
6508,BRONZE,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,5,10432,51,12322,4,0,1,-1,1,1
7076,BRONZE,-1.0,-1.0,1.0,-1.0,0.0,-1.0,1.0,17,8944,72,12358,5,8,0,0,1,0
3251,BRONZE,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-9,19,-10,4281,-1,2,0,-3,-1,0
7037,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-9,-6657,-40,-1430,-4,-6,0,-2,0,0
5968,BRONZE,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,3,7461,72,8894,1,-3,0,1,1,0
8002,BRONZE,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,6,-1637,18,-3938,-1,0,0,0,-1,0
6585,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-14,-10912,-146,-9039,-6,-7,0,-3,-1,0
10057,BRONZE,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1,-205,62,5100,2,5,0,-1,-1,-1
2471,BRONZE,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-4,-2441,-19,413,0,-3,0,-1,2,0
9335,BRONZE,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,13,6507,84,6119,1,-6,0,1,-2,0
17717,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-6,-7296,-78,-15288,-3,-5,0,-3,0,0
3730,BRONZE,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,21,11305,143,13304,2,5,0,1,1,1
391,BRONZE,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-3,-3289,-49,3033,0,4,0,2,1,0
621,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,18,14296,215,19473,4,2,0,3,-1,0
4883,BRONZE,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,-9,-1646,57,-5904,1,2,0,-3,1,0
4729,BRONZE,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-7,-8253,-177,-15906,-1,1,0,-1,1,0
2460,BRONZE,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,13,11094,157,16865,2,4,0,0,2,0
14554,BRONZE,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,9,3427,-94,20351,2,-4,0,-1,2,0
5354,BRONZE,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1.0,9,1790,-5,-4520,3,1,0,-1,2,0
7587,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-3,3782,109,1504,2,1,0,1,-1,0
4878,BRONZE,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-13,-8469,16,-8158,-3,-2,-1,-2,-1,0
