match_id,tier,division,patch,game_duration,region,winning_team,first_champion,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald
EUW1_5479661889,BRONZE,I,11.19,1797,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
EUW1_5479575964,BRONZE,I,11.19,1719,EUW1,100.0,100.0,200.0,100.0,,100.0,200.0
EUW1_5479499524,BRONZE,I,11.19,1352,EUW1,200.0,200.0,200.0,200.0,,100.0,200.0
EUW1_5479492935,BRONZE,I,11.19,1647,EUW1,200.0,200.0,100.0,200.0,,200.0,100.0
EUW1_5479357161,BRONZE,I,11.19,1509,EUW1,200.0,200.0,200.0,200.0,,200.0,200.0
EUW1_5479240342,BRONZE,I,11.19,1674,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
EUW1_5479274148,BRONZE,I,11.19,1284,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
EUW1_5449441489,BRONZE,I,11.17,1121,EUW1,200.0,200.0,200.0,200.0,,200.0,200.0
EUW1_5187819923,BRONZE,I,11.7,1573,EUW1,200.0,200.0,200.0,200.0,,200.0,200.0
EUW1_5187782584,BRONZE,I,11.7,1550,EUW1,200.0,200.0,200.0,200.0,,100.0,200.0
EUW1_5150600096,BRONZE,I,11.5,1239,EUW1,200.0,100.0,200.0,200.0,,200.0,200.0
EUW1_5150582584,BRONZE,I,11.5,1931,EUW1,100.0,100.0,200.0,100.0,100.0,200.0,200.0
EUW1_5147658901,BRONZE,I,11.5,1031,EUW1,200.0,200.0,200.0,200.0,,200.0,200.0
EUW1_5140867676,BRONZE,I,11.5,1596,EUW1,100.0,100.0,100.0,100.0,200.0,100.0,100.0
EUW1_5125613555,BRONZE,I,11.4,2047,EUW1,200.0,200.0,200.0,200.0,100.0,200.0,200.0
EUW1_5070527724,BRONZE,I,11.2,1513,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,200.0
EUW1_5070479839,BRONZE,I,11.2,1604,EUW1,100.0,100.0,100.0,100.0,,200.0,100.0
EUW1_5070493268,BRONZE,I,11.2,1351,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,200.0
EUW1_5070357138,BRONZE,I,11.2,1629,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
EUW1_5070268323,BRONZE,I,11.2,1741,EUW1,200.0,200.0,200.0,200.0,,200.0,200.0
EUW1_5032439830,BRONZE,I,11.1,2222,EUW1,100.0,100.0,100.0,100.0,200.0,100.0,
EUW1_5032371850,BRONZE,I,11.1,1539,EUW1,100.0,100.0,100.0,100.0,,200.0,100.0
EUW1_5032203251,BRONZE,I,11.1,1900,EUW1,100.0,100.0,100.0,100.0,100.0,200.0,100.0
EUW1_5019831475,BRONZE,I,11.1,1722,EUW1,100.0,200.0,100.0,100.0,100.0,100.0,100.0
EUW1_4994961225,BRONZE,I,10.25,2176,EUW1,100.0,100.0,200.0,100.0,100.0,100.0,100.0
EUW1_4994805992,BRONZE,I,10.25,1349,EUW1,200.0,100.0,200.0,,,200.0,200.0
EUW1_4994726359,BRONZE,I,10.25,198,EUW1,200.0,200.0,,,,,
EUW1_4993682200,BRONZE,I,10.25,2121,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
EUW1_4993569533,BRONZE,I,10.25,1371,EUW1,200.0,100.0,200.0,200.0,,200.0,200.0
EUW1_4993553961,BRONZE,I,10.25,2201,EUW1,100.0,100.0,200.0,100.0,200.0,200.0,100.0
EUW1_4993239248,BRONZE,I,10.25,1894,EUW1,100.0,100.0,100.0,100.0,,200.0,200.0
EUW1_4992624293,BRONZE,I,10.25,1380,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
