tournament_slug,game_id,match_id,patch,starting_time,game_number,blue_team,red_team,winner,blue_total_gold,blue_inhibitors,blue_towers,blue_barons,blue_total_kills,blue_dragons,blue_total_cs,red_total_gold,red_inhibitors,red_towers,red_barons,red_total_kills,red_dragons,red_total_cs
european-masters-spring-2020,103936903255278070,103936903255278069,10.7,2020-04-22 16:11:20,1,MRS,S04E,,23952,0,0,0,2,2,538,22454,0,0,0,0,0,525
european-masters-spring-2020,103936903255278076,103936903255278075,10.7,2020-04-22 16:58:40,1,SNG,K1,,20002,0,0,0,4,0,406,26195,0,1,0,13,2,397
european-masters-spring-2020,103936903255867920,103936903255867919,10.7,2020-04-22 17:40:30,1,WIZ,MOUZ,,18886,0,1,0,0,0,421,18677,0,0,0,0,2,435
european-masters-spring-2020,103936903255867922,103936903255867921,10.7,2020-04-22 18:31:10,1,ESB,FNCR,,21057,0,0,0,0,0,475,23382,0,0,0,2,2,502
european-masters-spring-2020,103936903254753766,103936903254753765,10.7,2020-04-22 19:19:30,1,LDLC,VGIA,,24370,0,1,0,7,1,419,22267,0,0,0,6,1,441
european-masters-spring-2020,103936903254753756,103936903254753755,10.7,2020-04-22 20:27:00,1,RGO,DKI,,24343,0,1,0,3,2,484,20928,0,0,0,0,0,450
european-masters-spring-2020,103936903254163908,103936903254163907,10.7,2020-04-23 16:04:00,1,BTXL,GO,,22073,0,0,0,2,1,449,23404,0,0,0,5,1,464
european-masters-spring-2020,103936903254163918,103936903254163917,10.7,2020-04-23 16:56:20,1,YDN,GL,,20518,0,0,0,3,0,403,27883,0,3,0,9,2,476
european-masters-spring-2020,103936903255278072,103936903255278071,10.7,2020-04-23 17:42:50,1,S04E,SNG,,24425,0,3,0,1,2,432,19992,0,0,0,0,0,404
european-masters-spring-2020,103936903255278074,103936903255278073,10.7,2020-04-23 18:31:20,1,MRS,K1,,17743,0,0,0,0,1,367,20744,0,1,0,2,0,405
european-masters-spring-2020,103936903255867918,103936903255867917,10.7,2020-04-23 19:16:40,1,FNCR,WIZ,,24626,0,0,0,5,1,465,23111,0,0,0,2,0,495
european-masters-spring-2020,103936903255867924,103936903255867923,10.7,2020-04-23 20:24:50,1,MOUZ,ESB,,25843,0,2,0,6,0,475,20252,0,0,0,1,1,439
european-masters-spring-2020,103936903255867916,103936903255867915,10.7,2020-04-24 15:59:00,1,WIZ,ESB,,21100,0,0,0,2,1,453,22444,0,0,0,4,1,441
european-masters-spring-2020,103936903255867926,103936903255867925,10.7,2020-04-24 17:06:40,1,MOUZ,FNCR,,23107,0,1,0,2,0,444,24038,0,1,0,3,2,504
european-masters-spring-2020,103936903254753764,103936903254753763,10.7,2020-04-24 18:01:00,1,VGIA,DKI,,22861,0,1,0,1,2,476,21951,0,0,0,1,0,467
european-masters-spring-2020,103936903254753758,103936903254753757,10.7,2020-04-24 18:53:00,1,LDLC,RGO,,20801,0,0,0,0,2,479,22114,0,0,0,1,0,486
european-masters-spring-2020,103936903254163910,103936903254163909,10.7,2020-04-24 19:50:30,1,BTXL,GL,,22180,0,1,0,2,1,450,23300,0,0,0,3,1,481
european-masters-spring-2020,103936903254163916,103936903254163915,10.7,2020-04-24 20:43:50,1,GO,YDN,,22839,0,1,0,3,2,469,22791,0,1,0,3,0,438
european-masters-spring-2020,103936903254163912,103936903254163911,10.7,2020-04-25 15:59:50,1,YDN,BTXL,YDN,23577,0,1,0,4,1,450,22147,0,1,0,1,1,471
european-masters-spring-2020,103936903254163914,103936903254163913,10.7,2020-04-25 17:01:30,1,GL,GO,,22932,0,0,0,2,0,509,24705,0,1,0,6,2,480
european-masters-spring-2020,103936903255278078,103936903255278077,10.7,2020-04-25 17:51:50,1,SNG,MRS,,21383,0,0,0,2,1,449,25014,0,1,0,6,0,465
european-masters-spring-2020,103936903255278068,103936903255278067,10.7,2020-04-25 18:45:10,1,K1,S04E,,23370,0,1,0,3,0,484,24064,0,0,0,6,2,493
european-masters-spring-2020,103936903254753760,103936903254753759,10.7,2020-04-25 19:43:30,1,VGIA,RGO,,22479,0,1,0,2,1,460,23502,0,0,0,4,1,503
european-masters-spring-2020,103936903254753762,103936903254753761,10.7,2020-04-25 20:45:50,1,DKI,LDLC,,18319,0,0,0,3,1,365,20657,0,1,0,3,1,410
european-masters-spring-2020,103936903254753776,103936903254753775,10.7,2020-04-29 16:04:20,1,DKI,VGIA,,21276,0,0,0,3,0,405,23687,0,2,0,4,2,434
european-masters-spring-2020,103936903254753770,103936903254753769,10.7,2020-04-29 16:57:50,1,RGO,LDLC,,20051,0,1,0,3,1,390,18766,0,0,0,2,0,398
european-masters-spring-2020,103936903254753778,103936903254753777,10.7,2020-04-29 17:52:50,1,VGIA,LDLC,,24316,0,0,0,9,0,426,24785,0,0,0,7,2,458
european-masters-spring-2020,103936903254753768,103936903254753767,10.7,2020-04-29 18:49:40,1,DKI,RGO,,20615,0,1,0,4,1,380,19130,0,0,0,3,1,384
european-masters-spring-2020,103936903254753772,103936903254753771,10.7,2020-04-29 19:49:40,1,RGO,VGIA,,22490,0,0,0,2,2,501,20345,0,0,0,0,0,481
european-masters-spring-2020,103936903254753774,103936903254753773,10.7,2020-04-29 20:39:20,1,LDLC,DKI,,24268,0,2,0,4,2,457,22851,0,0,0,5,0,440
european-masters-spring-2020,103936903254163922,103936903254163921,10.7,2020-04-30 16:02:00,1,GL,BTXL,BTXL,21080,0,0,0,0,0,500,23500,0,1,0,3,1,464
european-masters-spring-2020,103936903254163928,103936903254163927,10.7,2020-04-30 16:55:10,1,YDN,GO,,23297,0,0,0,6,1,439,21906,0,0,0,3,1,433
european-masters-spring-2020,103936903254163930,103936903254163929,10.7,2020-04-30 17:54:40,1,GL,YDN,,23294,0,1,0,2,0,472,22347,0,0,0,4,2,461
european-masters-spring-2020,103936903254163920,103936903254163919,10.7,2020-04-30 18:54:50,1,GO,BTXL,,20972,0,0,0,0,1,487,25554,0,1,0,3,1,518
european-masters-spring-2020,103936903254163924,103936903254163923,10.7,2020-04-30 19:55:20,1,BTXL,YDN,,18092,0,0,0,4,1,352,15915,0,0,0,0,0,338
european-masters-spring-2020,103936903254163926,103936903254163925,10.7,2020-04-30 20:44:30,1,GO,GL,,23393,0,0,0,2,0,529,21675,0,0,0,1,2,496
european-masters-spring-2020,104089647646247506,104089647646181969,10.7,2020-04-30 21:47:40,1,GL,BTXL,BTXL,24289,0,2,0,2,1,479,21705,0,0,0,2,1,478
european-masters-spring-2020,103936903255278084,103936903255278083,10.7,2020-05-01 16:00:50,1,SNG,S04E,S04E,23349,0,0,0,3,2,486,22456,0,0,0,2,0,479
european-masters-spring-2020,103936903255278086,103936903255278085,10.7,2020-05-01 16:58:10,1,K1,MRS,,22689,0,0,0,3,0,472,22271,0,0,0,2,2,496
european-masters-spring-2020,103936903255278082,103936903255278081,10.7,2020-05-01 17:48:50,1,S04E,MRS,,26469,0,1,0,6,2,524,21808,0,0,0,3,0,450
european-masters-spring-2020,103936903255278088,103936903255278087,10.7,2020-05-01 18:43:20,1,K1,SNG,,26032,0,2,0,11,0,383,23602,0,0,0,7,1,400
european-masters-spring-2020,103936903255278080,103936903255278079,10.7,2020-05-01 19:28:10,1,S04E,K1,,22193,0,0,0,1,1,520,21848,0,0,0,2,1,484
european-masters-spring-2020,103936903255343626,103936903255343625,10.7,2020-05-01 20:25:30,1,MRS,SNG,MRS,30117,0,3,0,17,1,440,19978,0,0,0,5,0,373
