tournament_slug,game_id,match_id,patch,starting_time,game_number,blue_team,red_team,winner,blue_total_gold,blue_inhibitors,blue_towers,blue_barons,blue_total_kills,blue_dragons,blue_total_cs,red_total_gold,red_inhibitors,red_towers,red_barons,red_total_kills,red_dragons,red_total_cs
european_masters_spring_2021_main_event,105990084005182074,105990084005182073,11.7,2021-04-14 14:32:40,1,S04E,BTXL,S04E,25574,0,1,0,6,1,486,21473,0,0,0,2,1,475
european_masters_spring_2021_main_event,105990084005182064,105990084005182063,11.7,2021-04-14 15:23:00,1,BTS,KC,KC,21141,0,0,0,1,0,474,21923,0,0,0,0,2,538
european_masters_spring_2021_main_event,105990084005116510,105990084005116509,11.7,2021-04-14 16:20:10,1,MOUZ,MCK,MOUZ,22539,0,1,0,1,1,494,22929,0,0,0,3,1,494
european_masters_spring_2021_main_event,105990084005116508,105990084005116507,11.7,2021-04-14 17:23:30,1,IHG,UCAM,UCAM,25104,0,1,0,3,0,520,23423,0,0,0,1,2,524
european_masters_spring_2021_main_event,105990084005116482,105990084005116481,11.7,2021-04-14 18:18:10,1,RGO,SSU,RGO,26254,0,2,0,3,2,500,25966,0,2,0,3,0,507
european_masters_spring_2021_main_event,105990084005116488,105990084005116487,11.7,2021-04-14 19:22:00,1,MSFP,G2AR,MSFP,28542,0,2,0,10,1,458,21309,0,0,0,1,0,471
european_masters_spring_2021_main_event,105990084005182066,105990084005182065,11.7,2021-04-15 14:29:10,1,KC,BTXL,KC,23845,0,1,0,2,0,497,21419,0,0,0,1,2,509
european_masters_spring_2021_main_event,105990084005182072,105990084005182071,11.7,2021-04-15 15:26:00,1,BTS,S04E,BTS,23195,0,0,0,3,1,515,23911,0,1,0,2,0,505
european_masters_spring_2021_main_event,105990084005116484,105990084005116483,11.7,2021-04-15 16:29:10,1,G2AR,RGO,RGO,23970,0,1,0,1,0,558,22903,0,0,0,1,2,540
european_masters_spring_2021_main_event,105990084005116486,105990084005116485,11.7,2021-04-15 17:27:30,1,SSU,MSFP,SSU,19116,0,0,0,1,0,405,24647,0,1,0,8,1,445
european_masters_spring_2021_main_event,105990084005116462,105990084005116461,11.7,2021-04-15 18:25:40,1,K1,ANO,ANO,22601,0,0,0,4,0,461,25802,0,1,0,7,2,485
european_masters_spring_2021_main_event,105990084005116460,105990084005116459,11.7,2021-04-15 19:26:50,1,MKS,BIG,BIG,23052,0,0,0,3,2,468,21553,0,0,0,1,0,470
