game_id,match_id,patch,starting_time,blue_team,red_team,winner,blue_total_gold,blue_inhibitors,blue_towers,blue_barons,blue_total_kills,blue_dragons,blue_total_cs,red_total_gold,red_inhibitors,red_towers,red_barons,red_total_kills,red_dragons,red_total_cs
105990084005182074,105990084005182073,11.7,2021-04-14 14:32:40,Schalke 04 Evolution,BT Excel,Schalke 04 Evolution,25574,0,1,0,6,1,486,21473,0,0,0,2,1,475
105990084005182064,105990084005182063,11.7,2021-04-14 15:23:00,Cream Real Betis,Karmine Corp,Karmine Corp,21141,0,0,0,1,0,474,21923,0,0,0,0,2,538
105990084005116510,105990084005116509,11.7,2021-04-14 16:20:10,Mousesports,Macko Esports,Mousesports,22539,0,1,0,1,1,494,22929,0,0,0,3,1,494
105990084005116508,105990084005116507,11.7,2021-04-14 17:23:30,Illuminar Gaming,UCAM Esports Club,UCAM Esports Club,25104,0,1,0,3,0,520,23423,0,0,0,1,2,524
105990084005116482,105990084005116481,11.7,2021-04-14 18:18:10,AGO Rogue,SuppUp eSports,AGO Rogue,26254,0,2,0,3,2,500,25966,0,2,0,3,0,507
105990084005116488,105990084005116487,11.7,2021-04-14 19:22:00,Misfits Premier,G2 Arctic,Misfits Premier,28542,0,2,0,10,1,458,21309,0,0,0,1,0,471
105990084005182066,105990084005182065,11.7,2021-04-15 14:29:10,Karmine Corp,BT Excel,Karmine Corp,23845,0,1,0,2,0,497,21419,0,0,0,1,2,509
105990084005182072,105990084005182071,11.7,2021-04-15 15:26:00,Cream Real Betis,Schalke 04 Evolution,Cream Real Betis,23195,0,0,0,3,1,515,23911,0,1,0,2,0,505
105990084005116484,105990084005116483,11.7,2021-04-15 16:29:10,G2 Arctic,AGO Rogue,AGO Rogue,23970,0,1,0,1,0,558,22903,0,0,0,1,2,540
105990084005116486,105990084005116485,11.7,2021-04-15 17:27:30,SuppUp eSports,Misfits Premier,SuppUp eSports,19116,0,0,0,1,0,405,24647,0,1,0,8,1,445
105990084005116462,105990084005116461,11.7,2021-04-15 18:25:40,K1CK Neosurf,Anorthosis Famagusta Esports,Anorthosis Famagusta Esports,22601,0,0,0,4,0,461,25802,0,1,0,7,2,485
105990084005116460,105990084005116459,11.7,2021-04-15 19:26:50,Mkers,Berlin International Gaming,Berlin International Gaming,23052,0,0,0,3,2,468,21553,0,0,0,1,0,470
105990084005116466,105990084005116465,11.7,2021-04-16 14:33:20,Anorthosis Famagusta Esports,Mkers,Mkers,23016,0,2,0,1,1,440,26899,0,2,0,5,1,529
105990084005116456,105990084005116455,11.7,2021-04-16 15:27:10,Berlin International Gaming,K1CK Neosurf,Berlin International Gaming,23820,0,0,0,4,1,490,26151,0,1,0,7,0,504
105990084005116480,105990084005116479,11.7,2021-04-16 16:20:20,Misfits Premier,AGO Rogue,Misfits Premier,23178,0,0,0,0,2,559,21152,0,0,0,0,0,515
105990084005116490,105990084005116489,11.7,2021-04-16 17:17:40,SuppUp eSports,G2 Arctic,SuppUp eSports,24511,0,0,0,6,0,491,21876,0,0,0,0,2,497
105990084005116512,105990084005116511,11.7,2021-04-16 18:12:20,Illuminar Gaming,Mousesports,Illuminar Gaming,24213,0,1,0,3,0,454,21952,0,0,0,5,1,455
105990084005116506,105990084005116505,11.7,2021-04-16 19:14:00,Macko Esports,UCAM Esports Club,UCAM Esports Club,21787,0,0,0,2,1,470,25044,0,1,0,3,1,516
105990084005182070,105990084005182069,11.7,2021-04-17 14:31:10,BT Excel,Cream Real Betis,BT Excel,24292,0,1,0,4,0,477,22383,0,0,0,4,2,471
105990084005182068,105990084005182067,11.7,2021-04-17 15:25:50,Schalke 04 Evolution,Karmine Corp,Karmine Corp,19350,0,0,0,1,0,421,22227,0,0,0,5,1,458
105990084005116504,105990084005116503,11.7,2021-04-17 16:16:40,UCAM Esports Club,Mousesports,UCAM Esports Club,20731,0,0,0,2,0,423,20458,0,0,0,2,2,432
105990084005116514,105990084005116513,11.7,2021-04-17 17:18:00,Macko Esports,Illuminar Gaming,Illuminar Gaming,22554,0,0,0,1,1,493,26271,0,1,0,5,1,582
105990084005116464,105990084005116463,11.7,2021-04-17 18:10:20,Mkers,K1CK Neosurf,Mkers,25036,0,0,0,4,0,533,22966,0,0,0,2,2,502
105990084005116458,105990084005116457,11.7,2021-04-17 19:09:10,Anorthosis Famagusta Esports,Berlin International Gaming,Berlin International Gaming,20902,0,0,0,3,0,428,24621,0,1,0,5,2,465
105990084005116502,105990084005116501,11.7,2021-04-20 14:31:30,G2 Arctic,SuppUp eSports,G2 Arctic,25149,0,0,0,6,0,540,21418,0,0,0,0,1,489
105990084005116492,105990084005116491,11.7,2021-04-20 15:27:40,AGO Rogue,Misfits Premier,Misfits Premier,22140,0,0,0,0,0,509,27010,0,2,0,5,2,550
105990084005116498,105990084005116497,11.7,2021-04-20 16:24:50,Misfits Premier,SuppUp eSports,Misfits Premier,29872,0,5,0,11,2,488,22292,0,0,0,1,0,487
105990084005116494,105990084005116493,11.7,2021-04-20 17:09:30,SuppUp eSports,AGO Rogue,SuppUp eSports,24162,0,0,0,4,2,509,22648,0,0,0,1,0,512
105990084005116500,105990084005116499,11.7,2021-04-20 18:03:10,G2 Arctic,Misfits Premier,Misfits Premier,9014,0,0,0,0,0,169,9600,0,0,0,1,0,179
105990084005116496,105990084005116495,11.7,2021-04-20 19:09:20,AGO Rogue,G2 Arctic,G2 Arctic,23028,0,0,0,4,1,472,26709,0,3,0,4,0,546
105990084005116470,105990084005116469,11.7,2021-04-21 16:32:00,Berlin International Gaming,Anorthosis Famagusta Esports,Berlin International Gaming,25932,0,0,0,13,1,421,22002,0,0,0,5,1,399
105990084005116476,105990084005116475,11.7,2021-04-21 17:20:50,K1CK Neosurf,Mkers,Mkers,18037,0,0,0,1,1,408,17977,0,0,0,0,0,433
105990084005116474,105990084005116473,11.7,2021-04-21 18:34:10,Anorthosis Famagusta Esports,K1CK Neosurf,K1CK Neosurf,22193,0,1,0,3,2,407,25405,0,1,0,7,0,483
105990084005116472,105990084005116471,11.7,2021-04-21 19:28:00,Berlin International Gaming,Mkers,Berlin International Gaming,24477,0,0,0,7,0,456,21808,0,0,0,7,0,383
105990084005116478,105990084005116477,11.7,2021-04-21 20:34:40,Mkers,Anorthosis Famagusta Esports,Anorthosis Famagusta Esports,26951,0,2,0,7,0,457,24692,0,1,0,9,2,430
105990084005116468,105990084005116467,11.7,2021-04-21 21:29:00,K1CK Neosurf,Berlin International Gaming,Berlin International Gaming,25769,0,1,0,7,0,473,26725,0,1,0,11,0,431
105990084005182052,105990084005182051,11.7,2021-04-22 14:32:40,Mousesports,UCAM Esports Club,UCAM Esports Club,20131,0,0,0,1,2,464,21068,0,0,0,4,0,436
105990084005182056,105990084005182055,11.7,2021-04-22 15:31:10,UCAM Esports Club,Illuminar Gaming,UCAM Esports Club,22181,0,0,0,2,0,478,22847,0,0,0,3,1,530
105990084005182058,105990084005182057,11.7,2021-04-22 16:28:20,Macko Esports,Mousesports,Macko Esports,22658,0,0,0,3,2,496,20474,0,0,0,2,0,441
105990084005182060,105990084005182059,11.7,2021-04-22 17:25:40,Mousesports,Illuminar Gaming,Mousesports,25620,0,1,0,7,1,484,23088,0,0,0,5,0,464
105990084005182054,105990084005182053,11.7,2021-04-22 18:15:00,UCAM Esports Club,Macko Esports,UCAM Esports Club,24200,0,0,0,4,1,548,22632,0,0,0,2,1,514
105990084005182062,105990084005182061,11.7,2021-04-22 19:06:50,Illuminar Gaming,Macko Esports,Macko Esports,23373,0,1,0,1,0,528,22594,0,1,0,2,2,450
106110699105222311,106110699105156774,11.7,2021-04-22 20:05:10,Macko Esports,Illuminar Gaming,Macko Esports,23529,0,1,0,2,2,502,21756,0,0,0,0,0,527
106110880469417719,106110880469417718,11.7,2021-04-22 20:59:00,Mousesports,Macko Esports,Mousesports,25027,0,0,0,8,1,507,22275,0,0,0,1,1,467
105990084005182076,105990084005182075,11.7,2021-04-23 14:31:10,Karmine Corp,Cream Real Betis,Karmine Corp,21984,0,0,0,4,0,435,20138,0,0,0,2,1,434
105990084005182086,105990084005182085,11.7,2021-04-23 15:27:40,BT Excel,Schalke 04 Evolution,BT Excel,22585,0,0,0,5,0,446,24290,0,2,0,3,2,459
105990084005182080,105990084005182079,11.7,2021-04-23 16:18:10,Karmine Corp,Schalke 04 Evolution,Karmine Corp,27459,0,4,0,9,2,461,18153,0,0,0,1,0,372
105990084005182082,105990084005182081,11.7,2021-04-23 17:00:20,Cream Real Betis,BT Excel,BT Excel,24088,0,1,0,1,0,508,23329,0,0,0,3,1,509
105990084005182078,105990084005182077,11.7,2021-04-23 17:55:50,BT Excel,Karmine Corp,Karmine Corp,23665,0,1,0,7,0,399,27854,0,1,0,12,2,469
105990084005182084,105990084005182083,11.7,2021-04-23 18:41:10,Schalke 04 Evolution,Cream Real Betis,Schalke 04 Evolution,25608,0,1,0,11,0,384,25535,0,0,0,12,0,437
105990084005182088,105990084005182087,11.7,2021-04-27 14:32:30,UCAM Esports Club,Mkers,UCAM Esports Club,23172,0,0,0,2,1,487,21207,0,0,0,1,1,461
105990084005182089,105990084005182087,11.7,2021-04-27 15:19:40,Mkers,UCAM Esports Club,UCAM Esports Club,24628,0,1,0,7,0,464,25345,0,2,0,3,2,497
