date,patch,blue_team,red_team,winner,blue_bans,red_bans,blue_picks,red_picks,blue_roster,red_roster,length,blue_gold,blue_kills,blue_towers,blue_dragons,blue_barons,blue_rift_heralds,red_gold,red_kills,red_towers,red_dragons,red_barons,red_rift_heralds
2021-09-02 12:42:00,11.15,FunPlus Phoenix,EDward Gaming,EDward Gaming,"Lucian,Jayce,Renekton,Ryze,LeBlanc","Irelia,Viego,Varus,Twisted Fate,Kennen","Gangplank,Lee Sin,Galio,Ziggs,Leona","Gnar,Olaf,Sylas,Aphelios,Thresh","Nuguri,Tian,Doinb,Lwx,Crisp","Flandre,Jiejie,Scout,Viper (Park Do-hyeon),Meiko",45:40,76894,18,7,3,0,,81665,17,10,4,3,
2021-09-02 11:36:00,11.15,FunPlus Phoenix,EDward Gaming,FunPlus Phoenix,"Lucian,Jayce,Renekton,Thresh,Trundle","Irelia,Twisted Fate,Viego,Sett,Leona","Kennen,Lee Sin,Galio,Varus,Rakan","Gnar,Xin Zhao,Ryze,Aphelios,Alistar","Nuguri,Tian,Doinb,Lwx,Crisp","Flandre,Jiejie,Scout,Viper (Park Do-hyeon),Meiko",38:03,70256,21,7,3,1,,64718,20,4,2,0,
2021-09-02 11:26:00,11.16,Hanwha Life Esports,T1,T1,"Ryze,Jayce,Irelia,Kalista,Ashe","Lee Sin,Camille,LeBlanc,Sylas,Rakan","Renekton,Viego,Orianna,Varus,Alistar","Kennen,Xin Zhao,Azir,Aphelios,Leona","Morgan,Willer,Chovy,Deft,Vsta","Canna,Oner,Faker,Gumayusi,Keria",29:33,49793,13,2,1,0,0,57361,16,8,2,1,2
2021-09-02 10:36:00,11.15,FunPlus Phoenix,EDward Gaming,EDward Gaming,"Jayce,Ziggs,Varus,LeBlanc,Renekton","Galio,Irelia,Viego,Twisted Fate,Sylas","Gnar,Xin Zhao,Orianna,Aphelios,Braum","Lucian,Lee Sin,Ryze,Jinx,Thresh","Nuguri,Tian,Doinb,Lwx,Crisp","Flandre,Jiejie,Scout,Viper (Park Do-hyeon),Meiko",31:45,52164,8,4,0,0,,61136,17,10,3,1,
2021-09-02 10:30:00,11.16,T1,Hanwha Life Esports,Hanwha Life Esports,"Camille,LeBlanc,Sylas,Ashe,Aphelios","Ryze,Jayce,Lee Sin,Kalista,Braum","Kennen,Xin Zhao,Azir,Ezreal,Leona","Irelia,Viego,Orianna,Varus,Rakan","Canna,Oner,Faker,Gumayusi,Keria","Morgan,Willer,Chovy,Deft,Vsta",36:39,60547,11,3,2,0,2,68713,20,7,4,1,0
2021-09-02 09:35:00,11.16,T1,Hanwha Life Esports,Hanwha Life Esports,"Renekton,Camille,LeBlanc,Ashe,Thresh","Ryze,Jayce,Lee Sin,Braum,Varus","Kennen,Xin Zhao,Azir,Ezreal,Leona","Irelia,Viego,Sylas,Aphelios,Rakan","Canna,Oner,Faker,Gumayusi,Keria","Morgan,Willer,Chovy,Deft,Vsta",33:10,54970,9,3,1,0,2,67429,19,10,4,1,0
2021-09-02 09:32:00,11.15,EDward Gaming,FunPlus Phoenix,EDward Gaming,"Viego,Aphelios,Irelia,Xin Zhao,Volibear","Ziggs,Diana,Trundle,Ashe,Kalista","Lucian,Lee Sin,Twisted Fate,Ezreal,Leona","Jayce,Olaf,Sylas,Varus,Braum","Flandre,Jiejie,Scout,Viper (Park Do-hyeon),Meiko","Nuguri,Tian,Doinb,Lwx,Crisp",30:12,61617,21,10,2,1,,49813,11,3,2,0,
2021-09-02 08:41:00,11.16,T1,Hanwha Life Esports,T1,"LeBlanc,Camille,Renekton,Varus,Leona","Ryze,Jayce,Lee Sin,Kalista,Ashe","Kennen,Xin Zhao,Azir,Jinx,Braum","Gnar,Viego,Orianna,Aphelios,Zilean","Canna,Oner,Faker,Gumayusi,Keria","Morgan,Willer,Chovy,Deft,Vsta",33:54,64307,12,9,2,1,1,52944,4,3,2,0,1
2021-09-02 07:52:00,11.16,T1,Hanwha Life Esports,T1,"Renekton,Camille,LeBlanc,Leona,Braum","Ryze,Jayce,Viego,Kalista,Ashe","Kennen,Lee Sin,Kassadin,Aphelios,Thresh","Gnar,Xin Zhao,Azir,Varus,Karma","Canna,Oner,Faker,Gumayusi,Keria","Morgan,Willer,Chovy,Deft,Vsta",36:48,69243,20,11,4,1,2,56229,4,1,2,0,0
2021-09-01 09:37:00,11.16,Nongshim RedForce,Hanwha Life Esports,Hanwha Life Esports,"LeBlanc,Twisted Fate,Varus,Braum,Zoe","Ryze,Jayce,Aphelios,Renekton,Gnar","Jax,Nidalee,Azir,Ezreal,Leona","Camille,Lee Sin,Galio,Ashe,Lulu","Rich (Lee Jae-won),Peanut,Gori,deokdam,Kellin","Morgan,Willer,Chovy,Deft,Vsta",31:36,48696,5,1,1,0,1,64218,23,10,4,1,1
