tier,division,match_id,patch,game_duration,region,winning_team,first_champion,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald
BRONZE,II,EUW1_5469880599,11.18,1206105,EUW1,200.0,200.0,200.0,200.0,,100.0,200.0
BRONZE,II,EUW1_5469821875,11.18,2023145,EUW1,200.0,100.0,100.0,200.0,,100.0,200.0
BRONZE,II,EUW1_5469726888,11.18,1387322,EUW1,200.0,100.0,100.0,100.0,,100.0,
BRONZE,II,EUW1_5469629305,11.18,1692817,EUW1,200.0,100.0,200.0,200.0,200.0,200.0,200.0
BRONZE,II,EUW1_5469554773,11.18,1931055,EUW1,200.0,200.0,200.0,200.0,,200.0,
BRONZE,II,EUW1_5468628973,11.18,1507286,EUW1,200.0,100.0,200.0,200.0,200.0,200.0,200.0
BRONZE,II,EUW1_5468616090,11.18,205548,EUW1,200.0,100.0,,,,,
BRONZE,II,EUW1_5468499987,11.18,1462918,EUW1,200.0,200.0,200.0,200.0,,100.0,200.0
BRONZE,II,EUW1_5468463744,11.18,1470915,EUW1,200.0,200.0,200.0,200.0,,100.0,200.0
BRONZE,II,EUW1_5465615558,11.18,2613491,EUW1,200.0,200.0,100.0,200.0,200.0,200.0,100.0
BRONZE,II,EUW1_5465621814,11.18,1704292,EUW1,100.0,100.0,100.0,100.0,,100.0,
BRONZE,II,EUW1_5465358698,11.18,1786587,EUW1,100.0,100.0,100.0,100.0,,200.0,100.0
BRONZE,II,EUW1_5465362266,11.18,2295710,EUW1,100.0,200.0,200.0,100.0,,200.0,200.0
BRONZE,II,EUW1_5333065494,11.12,1798393,EUW1,200.0,200.0,200.0,200.0,200.0,100.0,100.0
BRONZE,II,EUW1_5333074557,11.12,202043,EUW1,200.0,,,,,,
BRONZE,II,EUW1_5076629650,11.3,1709468,EUW1,200.0,200.0,200.0,200.0,,200.0,
BRONZE,II,EUW1_5076692880,11.3,915592,EUW1,100.0,200.0,,,,200.0,100.0
BRONZE,II,EUW1_5063772938,11.2,2104928,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
BRONZE,II,EUW1_5062041035,11.2,1464418,EUW1,100.0,100.0,100.0,100.0,,200.0,100.0
BRONZE,II,EUW1_5510503844,11.2,1673,EUW1,100.0,200.0,100.0,100.0,,200.0,200.0
BRONZE,II,EUW1_5464924875,11.18,1539785,EUW1,200.0,200.0,200.0,,200.0,200.0,100.0
BRONZE,II,EUW1_5464841616,11.18,1818453,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,200.0
BRONZE,II,EUW1_5463597484,11.18,1966185,EUW1,100.0,200.0,200.0,100.0,200.0,100.0,200.0
BRONZE,II,EUW1_5458261622,11.18,2264215,EUW1,100.0,100.0,200.0,100.0,100.0,100.0,200.0
BRONZE,II,EUW1_5456072268,11.18,1830322,EUW1,200.0,100.0,100.0,200.0,,200.0,200.0
BRONZE,II,EUW1_5455099537,11.18,2189063,EUW1,100.0,200.0,200.0,100.0,100.0,100.0,200.0
BRONZE,II,EUW1_5455094666,11.18,1297443,EUW1,200.0,200.0,200.0,200.0,,200.0,100.0
BRONZE,II,EUW1_5454975341,11.18,2822954,EUW1,100.0,200.0,200.0,200.0,100.0,100.0,200.0
BRONZE,II,EUW1_5454931272,11.18,1511913,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BRONZE,II,EUW1_5454846101,11.18,1584043,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,200.0
BRONZE,II,EUW1_5454850685,11.18,1919951,EUW1,100.0,,200.0,100.0,100.0,100.0,
BRONZE,II,EUW1_5454664399,11.18,1311031,EUW1,100.0,200.0,100.0,100.0,,100.0,100.0
BRONZE,II,EUW1_5449022500,11.17,1396095,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
BRONZE,II,EUW1_5447836567,11.17,1523994,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BRONZE,II,EUW1_5447636258,11.17,1224873,EUW1,200.0,200.0,200.0,200.0,,200.0,200.0
BRONZE,II,EUW1_5432273138,11.17,1428947,EUW1,200.0,100.0,200.0,200.0,,200.0,100.0
BRONZE,II,EUW1_5432168765,11.17,1521861,EUW1,100.0,200.0,100.0,100.0,100.0,100.0,100.0
BRONZE,II,EUW1_5432153636,11.17,1851235,EUW1,200.0,100.0,200.0,200.0,200.0,100.0,200.0
BRONZE,II,EUW1_5432009540,11.17,1343224,EUW1,200.0,100.0,200.0,200.0,,100.0,200.0
BRONZE,II,EUW1_5431035417,11.17,1756341,EUW1,200.0,200.0,100.0,200.0,,100.0,200.0
BRONZE,II,EUW1_5430930272,11.17,1554825,EUW1,200.0,200.0,200.0,200.0,,200.0,200.0
BRONZE,II,EUW1_5429191107,11.16,2379244,EUW1,100.0,200.0,200.0,100.0,100.0,100.0,100.0
BRONZE,II,EUW1_5412886499,11.16,2439257,EUW1,100.0,200.0,200.0,100.0,100.0,200.0,
BRONZE,II,EUW1_5412779575,11.16,2166156,EUW1,200.0,100.0,200.0,200.0,200.0,100.0,200.0
BRONZE,II,EUW1_5346779617,11.13,1653240,EUW1,200.0,200.0,200.0,200.0,,200.0,
BRONZE,II,EUW1_5344020901,11.13,1653320,EUW1,100.0,100.0,100.0,100.0,,200.0,100.0
BRONZE,II,EUW1_5343886274,11.13,1809828,EUW1,200.0,100.0,200.0,200.0,100.0,100.0,200.0
BRONZE,II,EUW1_5343931200,11.13,1497066,EUW1,200.0,100.0,200.0,200.0,,200.0,200.0
BRONZE,II,EUW1_5341352833,11.13,1818894,EUW1,100.0,200.0,200.0,100.0,,200.0,100.0
BRONZE,II,EUW1_5340963322,11.13,2130226,EUW1,200.0,200.0,100.0,200.0,200.0,100.0,200.0
BRONZE,II,EUW1_5340839944,11.13,1573456,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BRONZE,II,EUW1_5340826911,11.13,1070660,EUW1,100.0,200.0,200.0,100.0,,100.0,100.0
BRONZE,II,EUW1_5330551300,11.12,1413553,EUW1,100.0,200.0,100.0,100.0,100.0,100.0,200.0
BRONZE,II,EUW1_5330477629,11.12,933190,EUW1,200.0,200.0,200.0,,,200.0,
BRONZE,II,EUW1_5328986824,11.12,2175571,EUW1,200.0,100.0,200.0,200.0,100.0,100.0,
BRONZE,II,EUW1_5325896021,11.12,1670054,EUW1,200.0,100.0,100.0,200.0,,100.0,200.0
BRONZE,II,EUW1_5321073520,11.12,1845256,EUW1,200.0,100.0,200.0,200.0,200.0,200.0,100.0
BRONZE,II,EUW1_5320262033,11.12,1240560,EUW1,200.0,200.0,200.0,,,200.0,200.0
BRONZE,II,EUW1_5320241344,11.12,2639958,EUW1,200.0,200.0,100.0,100.0,100.0,200.0,100.0
BRONZE,II,EUW1_5320075407,11.12,2436124,EUW1,200.0,100.0,100.0,100.0,200.0,200.0,100.0
BRONZE,II,EUW1_5319308911,11.12,1751189,EUW1,200.0,200.0,200.0,200.0,200.0,100.0,200.0
BRONZE,II,EUW1_5319303336,11.12,2104144,EUW1,200.0,100.0,200.0,200.0,,200.0,200.0
BRONZE,II,EUW1_5319238231,11.12,1815194,EUW1,100.0,100.0,100.0,100.0,100.0,200.0,200.0
BRONZE,II,EUW1_5319215186,11.12,1222168,EUW1,200.0,100.0,200.0,,,200.0,100.0
BRONZE,II,EUW1_5319110239,11.12,2109723,EUW1,100.0,200.0,200.0,100.0,,200.0,200.0
BRONZE,II,EUW1_5319105939,11.12,1692584,EUW1,100.0,200.0,100.0,100.0,100.0,200.0,200.0
BRONZE,II,EUW1_5319095334,11.12,224412,EUW1,100.0,100.0,,,,,
BRONZE,II,EUW1_5319160788,11.12,1497935,EUW1,100.0,200.0,200.0,100.0,100.0,100.0,200.0
BRONZE,II,EUW1_5319056065,11.12,1452828,EUW1,100.0,200.0,100.0,100.0,,100.0,200.0
BRONZE,II,EUW1_5533877684,11.21,1469,EUW1,100.0,100.0,100.0,100.0,,200.0,100.0
BRONZE,II,EUW1_5533739514,11.21,2077,EUW1,100.0,100.0,200.0,100.0,100.0,100.0,
BRONZE,II,EUW1_5533404442,11.21,1599,EUW1,100.0,100.0,100.0,100.0,100.0,200.0,100.0
BRONZE,II,EUW1_5532960417,11.21,1361,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
BRONZE,II,EUW1_5530683117,11.21,1389,EUW1,100.0,200.0,100.0,100.0,,200.0,100.0
BRONZE,II,EUW1_5530558179,11.21,1435,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
BRONZE,II,EUW1_5530543580,11.21,1245,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
BRONZE,II,EUW1_5530512197,11.21,210,EUW1,100.0,100.0,,,,,
BRONZE,II,EUW1_5513611484,11.2,1340,EUW1,100.0,100.0,100.0,100.0,,100.0,
BRONZE,II,EUW1_5511195521,11.2,2045,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BRONZE,II,EUW1_5510621762,11.2,1896,EUW1,200.0,100.0,200.0,200.0,200.0,200.0,100.0
BRONZE,II,EUW1_5456183718,11.18,2867308,EUW1,100.0,200.0,100.0,100.0,100.0,200.0,200.0
BRONZE,II,EUW1_5311763623,11.11,1319817,EUW1,100.0,100.0,100.0,,100.0,100.0,100.0
BRONZE,II,EUW1_5310516282,11.11,1325476,EUW1,100.0,100.0,100.0,100.0,,200.0,100.0
BRONZE,II,EUW1_5279007250,11.1,1649630,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BRONZE,II,EUW1_5278848903,11.1,1846696,EUW1,100.0,200.0,100.0,100.0,100.0,100.0,
BRONZE,II,EUW1_5262470079,11.9,2162464,EUW1,100.0,200.0,200.0,200.0,200.0,200.0,100.0
BRONZE,II,EUW1_5257236184,11.9,2731277,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,
BRONZE,II,EUW1_5257130455,11.9,1630118,EUW1,200.0,200.0,200.0,200.0,,100.0,
BRONZE,II,EUW1_5239684457,11.9,1475465,EUW1,200.0,200.0,100.0,200.0,,200.0,200.0
BRONZE,II,EUW1_5533314805,11.21,2870,EUW1,200.0,100.0,100.0,200.0,200.0,200.0,200.0
BRONZE,II,EUW1_5532457615,11.21,2732,EUW1,200.0,100.0,200.0,200.0,200.0,100.0,200.0
BRONZE,II,EUW1_5532433655,11.21,1374,EUW1,200.0,100.0,200.0,200.0,,200.0,200.0
BRONZE,II,EUW1_5532357146,11.21,1976,EUW1,100.0,100.0,100.0,100.0,100.0,200.0,100.0
BRONZE,II,EUW1_5532281160,11.21,2566,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BRONZE,II,EUW1_5526255708,11.21,2316,EUW1,100.0,100.0,200.0,100.0,200.0,100.0,200.0
BRONZE,II,EUW1_5526215664,11.21,2427,EUW1,100.0,200.0,200.0,100.0,200.0,200.0,200.0
BRONZE,II,EUW1_5525631795,11.21,2160,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,200.0
BRONZE,II,EUW1_5521817303,11.21,2108,EUW1,100.0,200.0,200.0,100.0,100.0,100.0,100.0
BRONZE,II,EUW1_5521055889,11.21,1992,EUW1,100.0,200.0,200.0,100.0,,200.0,200.0
BRONZE,II,EUW1_5520946165,11.21,2109,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,200.0
BRONZE,II,EUW1_5477858329,11.19,2418955,EUW1,100.0,100.0,200.0,100.0,100.0,100.0,
BRONZE,II,EUW1_5230331834,11.8,1945543,EUW1,200.0,200.0,200.0,200.0,200.0,100.0,
BRONZE,II,EUW1_5216353033,11.8,1470286,EUW1,200.0,100.0,200.0,200.0,200.0,100.0,200.0
BRONZE,II,EUW1_5215157894,11.8,2672480,EUW1,100.0,200.0,200.0,200.0,100.0,200.0,
BRONZE,II,EUW1_5215133213,11.8,915380,EUW1,200.0,200.0,200.0,,,200.0,
BRONZE,II,EUW1_5214319519,11.8,1806417,EUW1,200.0,200.0,100.0,200.0,,100.0,100.0
BRONZE,II,EUW1_5212540379,11.8,1861888,EUW1,100.0,200.0,200.0,100.0,100.0,200.0,
BRONZE,II,EUW1_5211109029,11.8,2881497,EUW1,100.0,100.0,200.0,200.0,200.0,200.0,200.0
BRONZE,II,EUW1_5210360086,11.8,1878417,EUW1,200.0,100.0,100.0,200.0,200.0,200.0,100.0
BRONZE,II,EUW1_5210393737,11.8,1953645,EUW1,200.0,100.0,200.0,200.0,,200.0,200.0
BRONZE,II,EUW1_5199551805,11.7,2050866,EUW1,100.0,200.0,200.0,100.0,100.0,100.0,
BRONZE,II,EUW1_5199444136,11.7,2048250,EUW1,200.0,100.0,100.0,200.0,200.0,200.0,200.0
BRONZE,II,EUW1_5194964501,11.7,1235042,EUW1,200.0,200.0,200.0,200.0,,200.0,200.0
BRONZE,II,EUW1_5194947596,11.7,1533127,EUW1,200.0,200.0,200.0,,,100.0,100.0
BRONZE,II,EUW1_5513954178,11.2,1917,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BRONZE,II,EUW1_5511706855,11.2,2362,EUW1,200.0,100.0,100.0,100.0,200.0,100.0,100.0
BRONZE,II,EUW1_5504590995,11.2,2508,EUW1,200.0,100.0,200.0,100.0,100.0,200.0,
