match_id,patch,game_duration,region,winning_team,first_champion,first_towerfirst_inhibitor,first_baron,first_dragon,first_rift_herald
EUW1_5534811223,11.21,1747,EUW1,200,200,200,200,200,200,200
EUW1_5534636568,11.21,1449,EUW1,200,200,200,200,200,100,200
EUW1_5534449802,11.21,1776,EUW1,200,100,200,200,200,200,200
EUW1_5534335868,11.21,1838,EUW1,200,200,100,200,200,100,100
EUW1_5534230230,11.21,1387,EUW1,100,100,100,100,,100,100
EUW1_5534135742,11.21,1300,EUW1,200,200,200,,,200,100
EUW1_5533937148,11.21,2072,EUW1,100,100,200,100,100,100,100
EUW1_5533499510,11.21,1816,EUW1,100,200,200,100,100,100,200
EUW1_5533268758,11.21,1576,EUW1,100,100,100,,100,100,100
EUW1_5533263182,11.21,1719,EUW1,100,200,100,100,100,200,100
EUW1_5533234431,11.21,1756,EUW1,200,100,100,200,200,200,100
EUW1_5533051272,11.21,1707,EUW1,200,200,200,200,200,200,200
EUW1_5532947947,11.21,1239,EUW1,200,200,100,,,200,100
EUW1_5532595736,11.21,1699,EUW1,100,100,100,100,100,200,100
EUW1_5532116597,11.21,1809,EUW1,200,200,100,200,200,200,100
EUW1_5531506588,11.21,1860,EUW1,100,100,100,100,100,100,100
EUW1_5530779291,11.21,1318,EUW1,200,200,200,200,,100,200
EUW1_5530667099,11.21,1774,EUW1,100,200,100,100,200,100,100
EUW1_5530664409,11.21,626,EUW1,100,200,100,,,,100
EUW1_5530568733,11.21,1351,EUW1,100,100,100,100,,100,100
EUW1_5530523267,11.21,1592,EUW1,100,200,100,100,100,100,100
EUW1_5530335553,11.21,1297,EUW1,200,100,200,,,200,100
EUW1_5530224167,11.21,1499,EUW1,200,200,200,200,,200,200
EUW1_5530148956,11.21,1355,EUW1,200,100,100,,200,200,
EUW1_5530193030,11.21,1711,EUW1,100,200,100,100,100,100,100
EUW1_5532444131,11.21,913,EUW1,200,200,200,,,200,
EUW1_5532339740,11.21,1364,EUW1,100,200,100,100,100,100,100
EUW1_5532284463,11.21,1754,EUW1,100,200,100,100,100,200,100
EUW1_5532234388,11.21,1558,EUW1,100,200,100,100,100,100,100
EUW1_5532116597,11.21,1809,EUW1,200,200,100,200,200,200,100
EUW1_5532092297,11.21,1650,EUW1,200,200,200,200,200,200,200
EUW1_5530331662,11.21,1895,EUW1,100,100,200,100,200,100,100
EUW1_5529912713,11.21,2265,EUW1,200,200,100,100,200,200,100
EUW1_5529847771,11.21,1644,EUW1,100,100,100,100,100,200,100
EUW1_5529827107,11.21,945,EUW1,100,100,100,,,200,100
EUW1_5529205776,11.21,1803,EUW1,200,200,200,200,200,200,200
EUW1_5529110286,11.21,1414,EUW1,100,100,100,,,200,200
EUW1_5529132609,11.21,1364,EUW1,200,200,200,200,,200,200
EUW1_5529033574,11.21,2271,EUW1,100,100,200,,100,100,200
EUW1_5528968651,11.21,1405,EUW1,100,200,100,100,100,100,200
EUW1_5528853921,11.21,1861,EUW1,100,200,100,100,100,200,100
EUW1_5528821347,11.21,1338,EUW1,100,100,100,100,100,200,200
EUW1_5528696362,11.21,1918,EUW1,100,200,100,100,100,200,100
EUW1_5528570318,11.21,1732,EUW1,200,200,200,200,200,100,100
EUW1_5528526557,11.21,1685,EUW1,100,100,200,100,100,200,100
EUW1_5528504310,11.21,1409,EUW1,100,100,100,100,,100,100
EUW1_5528299481,11.21,1421,EUW1,100,200,100,100,100,200,200
EUW1_5528286441,11.21,1516,EUW1,100,200,200,,100,200,200
EUW1_5528283433,11.21,1274,EUW1,200,100,200,200,,100,200
EUW1_5527373506,11.21,1217,EUW1,200,200,200,,,200,200
EUW1_5534591592,11.21,1226,EUW1,200,100,200,200,,200,100
EUW1_5534519635,11.21,1574,EUW1,200,100,200,200,200,100,200
EUW1_5534449802,11.21,1776,EUW1,200,100,200,200,200,200,200
EUW1_5534507025,11.21,1212,EUW1,100,200,200,,,100,100
EUW1_5533397910,11.21,2008,EUW1,100,200,100,200,200,100,100
EUW1_5533364507,11.21,1011,EUW1,100,100,100,,,200,100
EUW1_5533238394,11.21,1165,EUW1,100,100,100,,,100,100
EUW1_5533223156,11.21,1688,EUW1,200,100,100,200,200,200,100
EUW1_5533077209,11.21,1212,EUW1,200,200,200,,,100,200
EUW1_5532744819,11.21,1487,EUW1,100,200,100,100,100,100,100
EUW1_5532693036,11.21,1813,EUW1,200,100,200,200,200,200,200
EUW1_5532535795,11.21,1654,EUW1,200,200,200,200,,200,200
EUW1_5532420968,11.21,1016,EUW1,100,100,100,,,100,100
EUW1_5532067833,11.21,1805,EUW1,100,200,100,200,200,100,100
EUW1_5531853878,11.21,2270,EUW1,200,200,100,100,100,200,200
EUW1_5531343194,11.21,1374,EUW1,100,100,200,100,100,100,200
EUW1_5531240327,11.21,1451,EUW1,100,100,200,100,100,100,100
EUW1_5531350894,11.21,191,EUW1,200,100,,,,,
EUW1_5531179169,11.21,1463,EUW1,200,200,200,200,200,200,200
EUW1_5531216227,11.21,1842,EUW1,100,200,100,,200,200,
EUW1_5531251997,11.21,1599,EUW1,100,200,100,100,100,100,100
EUW1_5530030993,11.21,1926,EUW1,200,200,100,200,200,200,100
EUW1_5529187550,11.21,1253,EUW1,100,200,100,100,,200,100
EUW1_5529132609,11.21,1364,EUW1,200,200,200,200,,200,200
