,tier,division,match_id,patch,game_duration,region,winning_team,first_champion,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald
2603,BRONZE,I,EUW1_5479661889,11.19,1797062,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2604,BRONZE,I,EUW1_5479575964,11.19,1719396,EUW1,100.0,100.0,200.0,100.0,,100.0,200.0
2605,BRONZE,I,EUW1_5479499524,11.19,1352414,EUW1,200.0,200.0,200.0,200.0,,100.0,200.0
2606,BRONZE,I,EUW1_5479492935,11.19,1647667,EUW1,200.0,200.0,100.0,200.0,,200.0,100.0
2607,BRONZE,I,EUW1_5479357161,11.19,1509152,EUW1,200.0,200.0,200.0,200.0,,200.0,200.0
2608,BRONZE,I,EUW1_5479240342,11.19,1674258,EUW1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2609,BRONZE,I,EUW1_5479274148,11.19,1284391,EUW1,100.0,100.0,100.0,100.0,,100.0,100.0
2610,BRONZE,I,EUW1_5449441489,11.17,1121882,EUW1,200.0,200.0,200.0,200.0,,200.0,200.0
2611,BRONZE,I,EUW1_5187819923,11.7,1573801,EUW1,200.0,200.0,200.0,200.0,,200.0,200.0
2612,BRONZE,I,EUW1_5187782584,11.7,1550440,EUW1,200.0,200.0,200.0,200.0,,100.0,200.0
2613,BRONZE,I,EUW1_5150600096,11.5,1239152,EUW1,200.0,100.0,200.0,200.0,,200.0,200.0
2614,BRONZE,I,EUW1_5150582584,11.5,1931221,EUW1,100.0,100.0,200.0,100.0,100.0,200.0,200.0
2615,BRONZE,I,EUW1_5147658901,11.5,1031201,EUW1,200.0,200.0,200.0,200.0,,200.0,200.0
2616,BRONZE,I,EUW1_5140867676,11.5,1596587,EUW1,100.0,100.0,100.0,100.0,200.0,100.0,100.0
2617,BRONZE,I,EUW1_5125613555,11.4,2047125,EUW1,200.0,200.0,200.0,200.0,100.0,200.0,200.0
2618,BRONZE,I,EUW1_5070527724,11.2,1513737,EUW1,200.0,200.0,200.0,200.0,200.0,200.0,200.0
